q1, r, c, 128, 32768, 1, 129150
q1, r, h, 128, 32768, 1, 155342
q1, d, -, 128, 32768, 1, 171058
q1, c, -, 128, 32768, 1, 209818
q1, c, a, 128, 32768, 1, 72160
q1, r, c, 128, 32768, 1, 132134
q1, r, h, 128, 32768, 1, 153222
q1, d, -, 128, 32768, 1, 175400
q1, c, -, 128, 32768, 1, 207804
q1, c, a, 128, 32768, 1, 72163
q1, r, c, 128, 32768, 1, 129153
q1, r, h, 128, 32768, 1, 153116
q1, d, -, 128, 32768, 1, 212450
q1, c, -, 128, 32768, 1, 209228
q1, c, a, 128, 32768, 1, 72194
q1, r, c, 128, 32768, 1, 131262
q1, r, h, 128, 32768, 1, 153135
q1, d, -, 128, 32768, 1, 170941
q1, c, -, 128, 32768, 1, 205519
q1, c, a, 128, 32768, 1, 72260
q1, r, c, 128, 32768, 1, 129167
q1, r, h, 128, 32768, 1, 153202
q1, d, -, 128, 32768, 1, 172376
q1, c, -, 128, 32768, 1, 207181
q1, c, a, 128, 32768, 1, 72183
q1, r, c, 128, 32768, 1, 129153
q1, r, h, 128, 32768, 1, 155628
q1, d, -, 128, 32768, 1, 171012
q1, c, -, 128, 32768, 1, 205439
q1, c, a, 128, 32768, 1, 72156
q1, r, c, 128, 32768, 1, 129165
q1, r, h, 128, 32768, 1, 155081
q1, d, -, 128, 32768, 1, 170995
q1, c, -, 128, 32768, 1, 207635
q1, c, a, 128, 32768, 1, 72218
q1, r, c, 128, 32768, 1, 129172
q1, r, h, 128, 32768, 1, 153138
q1, d, -, 128, 32768, 1, 173167
q1, c, -, 128, 32768, 1, 207683
q1, c, a, 128, 32768, 1, 72170
q1, r, c, 128, 32768, 1, 131812
q1, r, h, 128, 32768, 1, 153951
q1, d, -, 128, 32768, 1, 171206
q1, c, -, 128, 32768, 1, 205458
q1, c, a, 128, 32768, 1, 72271
q1, r, c, 128, 32768, 1, 131491
q1, r, h, 128, 32768, 1, 153279
q1, d, -, 128, 32768, 1, 173470
q1, c, -, 128, 32768, 1, 205429
q1, c, a, 128, 32768, 1, 72175
q1, r, c, 128, 32768, 1, 129163
q1, r, h, 128, 32768, 1, 153140
q1, d, -, 128, 32768, 1, 172942
q1, c, -, 128, 32768, 1, 207780
q1, c, a, 128, 32768, 1, 72266
q1, r, c, 128, 32768, 1, 129156
q1, r, h, 128, 32768, 1, 153148
q1, d, -, 128, 32768, 1, 176099
q1, c, -, 128, 32768, 1, 208907
q1, c, a, 128, 32768, 1, 72149
q1, r, c, 128, 32768, 1, 129159
q1, r, h, 128, 32768, 1, 153147
q1, d, -, 128, 32768, 1, 173167
q1, c, -, 128, 32768, 1, 207837
q1, c, a, 128, 32768, 1, 72136
q1, r, c, 128, 32768, 1, 132411
q1, r, h, 128, 32768, 1, 153250
q1, d, -, 128, 32768, 1, 173165
q1, c, -, 128, 32768, 1, 205479
q1, c, a, 128, 32768, 1, 73903
q1, r, c, 128, 32768, 1, 129157
q1, r, h, 128, 32768, 1, 154975
q1, d, -, 128, 32768, 1, 170773
q1, c, -, 128, 32768, 1, 207773
q1, c, a, 128, 32768, 1, 72151
q1, r, c, 128, 32768, 1, 131298
q1, r, h, 128, 32768, 1, 153161
q1, d, -, 128, 32768, 1, 171102
q1, c, -, 128, 32768, 1, 205450
q1, c, a, 128, 32768, 1, 73446
q1, r, c, 128, 32768, 1, 129154
q1, r, h, 128, 32768, 1, 154160
q1, d, -, 128, 32768, 1, 171003
q1, c, -, 128, 32768, 1, 205503
q1, c, a, 128, 32768, 1, 72164
q1, r, c, 128, 32768, 1, 129159
q1, r, h, 128, 32768, 1, 153170
q1, d, -, 128, 32768, 1, 173261
q1, c, -, 128, 32768, 1, 209305
q1, c, a, 128, 32768, 1, 72176
q1, r, c, 128, 32768, 1, 131146
q1, r, h, 128, 32768, 1, 153195
q1, d, -, 128, 32768, 1, 171151
q1, c, -, 128, 32768, 1, 205420
q1, c, a, 128, 32768, 1, 72193
q1, r, c, 128, 32768, 1, 129163
q1, r, h, 128, 32768, 1, 153156
q1, d, -, 128, 32768, 1, 171208
q1, c, -, 128, 32768, 1, 205485
q1, c, a, 128, 32768, 1, 72157
q1, r, c, 128, 32768, 1, 129150
q1, r, h, 128, 32768, 1, 158800
q1, d, -, 128, 32768, 1, 171376
q1, c, -, 128, 32768, 1, 205446
q1, c, a, 128, 32768, 1, 72330
q1, r, c, 128, 32768, 1, 129165
q1, r, h, 128, 32768, 1, 154984
q1, d, -, 128, 32768, 1, 170864
q1, c, -, 128, 32768, 1, 209314
q1, c, a, 128, 32768, 1, 72174
q1, r, c, 128, 32768, 1, 129187
q1, r, h, 128, 32768, 1, 154641
q1, d, -, 128, 32768, 1, 171160
q1, c, -, 128, 32768, 1, 209390
q1, c, a, 128, 32768, 1, 72169
q1, r, c, 128, 32768, 1, 129149
q1, r, h, 128, 32768, 1, 155124
q1, d, -, 128, 32768, 1, 171327
q1, c, -, 128, 32768, 1, 207802
q1, c, a, 128, 32768, 1, 72154
q1, r, c, 128, 32768, 1, 129159
q1, r, h, 128, 32768, 1, 154988
q1, d, -, 128, 32768, 1, 171679
q1, c, -, 128, 32768, 1, 205438
q1, c, a, 128, 32768, 1, 72151
q1, r, c, 128, 32768, 1, 131521
q1, r, h, 128, 32768, 1, 153105
q1, d, -, 128, 32768, 1, 171194
q1, c, -, 128, 32768, 1, 205467
q1, c, a, 128, 32768, 1, 72146
q1, r, c, 128, 32768, 1, 129201
q1, r, h, 128, 32768, 1, 153731
q1, d, -, 128, 32768, 1, 214018
q1, c, -, 128, 32768, 1, 209160
q1, c, a, 128, 32768, 1, 72175
q1, r, c, 128, 32768, 1, 129154
q1, r, h, 128, 32768, 1, 153180
q1, d, -, 128, 32768, 1, 172812
q1, c, -, 128, 32768, 1, 208001
q1, c, a, 128, 32768, 1, 72211
q1, r, c, 128, 32768, 1, 129172
q1, r, h, 128, 32768, 1, 154951
q1, d, -, 128, 32768, 1, 171018
q1, c, -, 128, 32768, 1, 207867
q1, c, a, 128, 32768, 1, 72241
q1, r, c, 128, 32768, 1, 131303
q1, r, h, 128, 32768, 1, 153139
q1, d, -, 128, 32768, 1, 171248
q1, c, -, 128, 32768, 1, 205433
q1, c, a, 128, 32768, 1, 73668
q1, r, c, 128, 32768, 2, 211190
q1, r, h, 128, 32768, 2, 257097
q1, d, -, 128, 32768, 2, 276269
q1, c, -, 128, 32768, 2, 370089
q1, c, a, 128, 32768, 2, 122703
q1, r, c, 128, 32768, 2, 208983
q1, r, h, 128, 32768, 2, 258091
q1, d, -, 128, 32768, 2, 273850
q1, c, -, 128, 32768, 2, 373135
q1, c, a, 128, 32768, 2, 122677
q1, r, c, 128, 32768, 2, 209000
q1, r, h, 128, 32768, 2, 260395
q1, d, -, 128, 32768, 2, 279391
q1, c, -, 128, 32768, 2, 371308
q1, c, a, 128, 32768, 2, 122704
q1, r, c, 128, 32768, 2, 218354
q1, r, h, 128, 32768, 2, 258392
q1, d, -, 128, 32768, 2, 274500
q1, c, -, 128, 32768, 2, 370029
q1, c, a, 128, 32768, 2, 122707
q1, r, c, 128, 32768, 2, 211321
q1, r, h, 128, 32768, 2, 257324
q1, d, -, 128, 32768, 2, 275484
q1, c, -, 128, 32768, 2, 371902
q1, c, a, 128, 32768, 2, 123650
q1, r, c, 128, 32768, 2, 208979
q1, r, h, 128, 32768, 2, 258445
q1, d, -, 128, 32768, 2, 275502
q1, c, -, 128, 32768, 2, 372092
q1, c, a, 128, 32768, 2, 123555
q1, r, c, 128, 32768, 2, 211449
q1, r, h, 128, 32768, 2, 258060
q1, d, -, 128, 32768, 2, 284130
q1, c, -, 128, 32768, 2, 370996
q1, c, a, 128, 32768, 2, 122651
q1, r, c, 128, 32768, 2, 208981
q1, r, h, 128, 32768, 2, 258295
q1, d, -, 128, 32768, 2, 275452
q1, c, -, 128, 32768, 2, 373241
q1, c, a, 128, 32768, 2, 122748
q1, r, c, 128, 32768, 2, 208980
q1, r, h, 128, 32768, 2, 258120
q1, d, -, 128, 32768, 2, 275144
