bench, mem, temp, row_size, row_count, col_count, cycles
q1, c, -, 64, 32768, 4, 172480
q1, r, c, 64, 32768, 4, 162189
q1, r, h, 64, 32768, 4, 159314
q1, d, -, 64, 32768, 4, 249548
q1, c, -, 64, 32768, 4, 169186
q1, r, c, 64, 32768, 4, 159993
q1, r, h, 64, 32768, 4, 158947
q1, d, -, 64, 32768, 4, 249694
q1, c, -, 64, 32768, 4, 170555
q1, r, c, 64, 32768, 4, 159984
q1, r, h, 64, 32768, 4, 165198
q1, d, -, 64, 32768, 4, 248264
q1, c, -, 64, 32768, 4, 173895
q1, r, c, 64, 32768, 4, 159988
q1, r, h, 64, 32768, 4, 160718
q1, d, -, 64, 32768, 4, 247721
q1, c, -, 64, 32768, 4, 173541
q1, r, c, 64, 32768, 4, 159981
q1, r, h, 64, 32768, 4, 161549
q1, d, -, 64, 32768, 4, 247742
q1, c, -, 64, 32768, 4, 173071
q1, r, c, 64, 32768, 4, 159983
q1, r, h, 64, 32768, 4, 161286
q1, d, -, 64, 32768, 4, 249254
q1, c, -, 64, 32768, 4, 170646
q1, r, c, 64, 32768, 4, 162170
q1, r, h, 64, 32768, 4, 158936
q1, d, -, 64, 32768, 4, 250264
q1, c, -, 64, 32768, 4, 171421
q1, r, c, 64, 32768, 4, 168590
q1, r, h, 64, 32768, 4, 158979
q1, d, -, 64, 32768, 4, 249804
q1, c, -, 64, 32768, 4, 171690
q1, r, c, 64, 32768, 4, 167519
q1, r, h, 64, 32768, 4, 163918
q1, d, -, 64, 32768, 4, 255379
q1, c, -, 64, 32768, 4, 170362
q1, r, c, 64, 32768, 4, 161964
q1, r, h, 64, 32768, 4, 158970
q1, d, -, 64, 32768, 4, 249531
q1, c, -, 64, 32768, 4, 171370
q1, r, c, 64, 32768, 4, 161155
q1, r, h, 64, 32768, 4, 158916
q1, d, -, 64, 32768, 4, 249800
q1, c, -, 64, 32768, 4, 170604
q1, r, c, 64, 32768, 4, 160004
q1, r, h, 64, 32768, 4, 160349
q1, d, -, 64, 32768, 4, 247755
q1, c, -, 64, 32768, 4, 171844
q1, r, c, 64, 32768, 4, 159990
q1, r, h, 64, 32768, 4, 161154
q1, d, -, 64, 32768, 4, 247719
q1, c, -, 64, 32768, 4, 171974
q1, r, c, 64, 32768, 4, 159989
q1, r, h, 64, 32768, 4, 161083
q1, d, -, 64, 32768, 4, 247792
q1, c, -, 64, 32768, 4, 173301
q1, r, c, 64, 32768, 4, 164336
q1, r, h, 64, 32768, 4, 158943
q1, d, -, 64, 32768, 4, 297412
q1, c, -, 64, 32768, 4, 170779
q1, r, c, 64, 32768, 4, 169551
q1, r, h, 64, 32768, 4, 163859
q1, d, -, 64, 32768, 4, 252480
q1, c, -, 64, 32768, 4, 170676
q1, r, c, 64, 32768, 4, 160026
q1, r, h, 64, 32768, 4, 162952
q1, d, -, 64, 32768, 4, 247760
q1, c, -, 64, 32768, 4, 171164
q1, r, c, 64, 32768, 4, 159990
q1, r, h, 64, 32768, 4, 167045
q1, d, -, 64, 32768, 4, 252368
q1, c, -, 64, 32768, 4, 170734
q1, r, c, 64, 32768, 4, 166949
q1, r, h, 64, 32768, 4, 159050
q1, d, -, 64, 32768, 4, 258816
q1, c, -, 64, 32768, 4, 170101
q1, r, c, 64, 32768, 4, 166800
q1, r, h, 64, 32768, 4, 158996
q1, d, -, 64, 32768, 4, 250650
q1, c, -, 64, 32768, 4, 170641
q1, r, c, 64, 32768, 4, 167855
q1, r, h, 64, 32768, 4, 159536
q1, d, -, 64, 32768, 4, 249569
q1, c, -, 64, 32768, 4, 170190
q1, r, c, 64, 32768, 4, 159982
q1, r, h, 64, 32768, 4, 162068
q1, d, -, 64, 32768, 4, 254137
q1, c, -, 64, 32768, 4, 172454
q1, r, c, 64, 32768, 4, 223552
q1, r, h, 64, 32768, 4, 228509
q1, d, -, 64, 32768, 4, 355769
q1, c, -, 64, 32768, 4, 171232
q1, r, c, 64, 32768, 4, 223536
q1, r, h, 64, 32768, 4, 223570
q1, d, -, 64, 32768, 4, 353570
q1, c, -, 64, 32768, 4, 170527
q1, r, c, 64, 32768, 4, 223557
q1, r, h, 64, 32768, 4, 223649
q1, d, -, 64, 32768, 4, 382374
q1, c, -, 64, 32768, 4, 171434
q1, r, c, 64, 32768, 4, 234420
