bench, mem, temp, row_size, row_count, col_width, offset, cycles, v3
q1, r, c, 64, 32768, 2, 0, 874672
q1, d, c, 64, 32768, 2, 0, 86971
q1, r, h, 64, 32768, 2, 0, 49564
q1, d, h, 64, 32768, 2, 0, 85555
q1, r, c, 64, 32768, 2, 0, 874662
q1, d, c, 64, 32768, 2, 0, 87257
q1, r, h, 64, 32768, 2, 0, 49564
q1, d, h, 64, 32768, 2, 0, 86059
q1, r, c, 64, 32768, 2, 0, 874702
q1, d, c, 64, 32768, 2, 0, 87607
q1, r, h, 64, 32768, 2, 0, 49566
q1, d, h, 64, 32768, 2, 0, 85283
q1, r, c, 64, 32768, 2, 0, 874679
q1, d, c, 64, 32768, 2, 0, 86901
q1, r, h, 64, 32768, 2, 0, 49567
q1, d, h, 64, 32768, 2, 0, 85595
q1, r, c, 64, 32768, 2, 0, 874781
q1, d, c, 64, 32768, 2, 0, 86919
q1, r, h, 64, 32768, 2, 0, 49564
q1, d, h, 64, 32768, 2, 0, 85398
q1, r, c, 64, 32768, 2, 0, 874682
q1, d, c, 64, 32768, 2, 0, 87037
q1, r, h, 64, 32768, 2, 0, 49564
q1, d, h, 64, 32768, 2, 0, 85746
q1, r, c, 64, 32768, 2, 0, 874809
q1, d, c, 64, 32768, 2, 0, 87179
q1, r, h, 64, 32768, 2, 0, 49566
q1, d, h, 64, 32768, 2, 0, 86304
q1, r, c, 64, 32768, 2, 0, 874726
q1, d, c, 64, 32768, 2, 0, 87149
q1, r, h, 64, 32768, 2, 0, 49552
q1, d, h, 64, 32768, 2, 0, 87636
q1, r, c, 64, 32768, 2, 0, 874641
q1, d, c, 64, 32768, 2, 0, 89520
q1, r, h, 64, 32768, 2, 0, 49569
q1, d, h, 64, 32768, 2, 0, 85689
q1, r, c, 64, 32768, 2, 0, 874688
q1, d, c, 64, 32768, 2, 0, 88454
q1, r, h, 64, 32768, 2, 0, 49553
q1, d, h, 64, 32768, 2, 0, 86994
q1, r, c, 64, 32768, 2, 0, 874725
q1, d, c, 64, 32768, 2, 0, 87192
q1, r, h, 64, 32768, 2, 0, 49564
q1, d, h, 64, 32768, 2, 0, 85903
q1, r, c, 64, 32768, 2, 0, 874725
q1, d, c, 64, 32768, 2, 0, 86815
q1, r, h, 64, 32768, 2, 0, 49564
q1, d, h, 64, 32768, 2, 0, 85745
q1, r, c, 64, 32768, 2, 0, 874658
q1, d, c, 64, 32768, 2, 0, 87131
q1, r, h, 64, 32768, 2, 0, 49568
q1, d, h, 64, 32768, 2, 0, 90151
q1, r, c, 64, 32768, 2, 0, 874877
q1, d, c, 64, 32768, 2, 0, 87026
q1, r, h, 64, 32768, 2, 0, 49553
q1, d, h, 64, 32768, 2, 0, 87780
q1, r, c, 64, 32768, 2, 0, 874664
q1, d, c, 64, 32768, 2, 0, 89388
q1, r, h, 64, 32768, 2, 0, 49564
q1, d, h, 64, 32768, 2, 0, 86008
q1, r, c, 64, 32768, 2, 0, 874695
q1, d, c, 64, 32768, 2, 0, 87224
q1, r, h, 64, 32768, 2, 0, 49555
q1, d, h, 64, 32768, 2, 0, 85462
q1, r, c, 64, 32768, 2, 0, 874671
q1, d, c, 64, 32768, 2, 0, 87279
q1, r, h, 64, 32768, 2, 0, 49566
q1, d, h, 64, 32768, 2, 0, 85622
q1, r, c, 64, 32768, 2, 0, 874645
q1, d, c, 64, 32768, 2, 0, 87470
q1, r, h, 64, 32768, 2, 0, 52382
q1, d, h, 64, 32768, 2, 0, 85650
q1, r, c, 64, 32768, 2, 0, 874714
q1, d, c, 64, 32768, 2, 0, 87114
q1, r, h, 64, 32768, 2, 0, 49565
q1, d, h, 64, 32768, 2, 0, 111726
q1, r, c, 64, 32768, 2, 0, 874663
q1, d, c, 64, 32768, 2, 0, 86992
q1, r, h, 64, 32768, 2, 0, 49551
q1, d, h, 64, 32768, 2, 0, 85892
q1, r, c, 64, 32768, 2, 0, 874655
q1, d, c, 64, 32768, 2, 0, 87171
q1, r, h, 64, 32768, 2, 0, 49566
q1, d, h, 64, 32768, 2, 0, 85440
q1, r, c, 64, 32768, 2, 0, 874668
q1, d, c, 64, 32768, 2, 0, 87118
q1, r, h, 64, 32768, 2, 0, 49567
q1, d, h, 64, 32768, 2, 0, 85794
q1, r, c, 64, 32768, 2, 0, 874680
q1, d, c, 64, 32768, 2, 0, 86783
q1, r, h, 64, 32768, 2, 0, 49566
q1, d, h, 64, 32768, 2, 0, 88708
q1, r, c, 64, 32768, 2, 0, 874681
q1, d, c, 64, 32768, 2, 0, 88376
q1, r, h, 64, 32768, 2, 0, 49566
q1, d, h, 64, 32768, 2, 0, 85936
q1, r, c, 64, 32768, 2, 0, 874701
q1, d, c, 64, 32768, 2, 0, 87000
q1, r, h, 64, 32768, 2, 0, 49567
q1, d, h, 64, 32768, 2, 0, 85729
q1, r, c, 64, 32768, 4, 0, 874692
q1, d, c, 64, 32768, 4, 0, 86886
q1, r, h, 64, 32768, 4, 0, 49933
q1, d, h, 64, 32768, 4, 0, 85513
q1, r, c, 64, 32768, 4, 0, 874675
q1, d, c, 64, 32768, 4, 0, 86738
q1, r, h, 64, 32768, 4, 0, 49935
q1, d, h, 64, 32768, 4, 0, 85610
q1, r, c, 64, 32768, 4, 0, 874693
q1, d, c, 64, 32768, 4, 0, 89349
q1, r, h, 64, 32768, 4, 0, 49933
q1, d, h, 64, 32768, 4, 0, 85465
q1, r, c, 64, 32768, 4, 0, 874698
q1, d, c, 64, 32768, 4, 0, 86610
q1, r, h, 64, 32768, 4, 0, 49936
q1, d, h, 64, 32768, 4, 0, 85936
q1, r, c, 64, 32768, 4, 0, 874727
q1, d, c, 64, 32768, 4, 0, 88113
q1, r, h, 64, 32768, 4, 0, 49938
q1, d, h, 64, 32768, 4, 0, 85694
q1, r, c, 64, 32768, 4, 0, 874668
q1, d, c, 64, 32768, 4, 0, 89320
q1, r, h, 64, 32768, 4, 0, 49934
q1, d, h, 64, 32768, 4, 0, 87883
q1, r, c, 64, 32768, 4, 0, 874683
q1, d, c, 64, 32768, 4, 0, 86988
q1, r, h, 64, 32768, 4, 0, 49935
q1, d, h, 64, 32768, 4, 0, 89421
q1, r, c, 64, 32768, 4, 0, 874698
q1, d, c, 64, 32768, 4, 0, 86908
q1, r, h, 64, 32768, 4, 0, 49935
q1, d, h, 64, 32768, 4, 0, 89546
q1, r, c, 64, 32768, 4, 0, 874611
q1, d, c, 64, 32768, 4, 0, 86530
q1, r, h, 64, 32768, 4, 0, 49905
q1, d, h, 64, 32768, 4, 0, 85515
q1, r, c, 64, 32768, 4, 0, 874708
q1, d, c, 64, 32768, 4, 0, 86771
q1, r, h, 64, 32768, 4, 0, 49935
q1, d, h, 64, 32768, 4, 0, 85770
q1, r, c, 64, 32768, 4, 0, 874699
q1, d, c, 64, 32768, 4, 0, 117993
q1, r, h, 64, 32768, 4, 0, 49938
q1, d, h, 64, 32768, 4, 0, 98345
q1, r, c, 64, 32768, 4, 0, 874689
q1, d, c, 64, 32768, 4, 0, 87880
q1, r, h, 64, 32768, 4, 0, 49934
