bench, mem, temp, row_size, row_count, col_width, cycles, l1_references, l1_refills, l2_references, l2_refills, inst_retired
q4, r, c, 16, 32768, 4, 70514, 294958, 133, 12367, 6152, 622679
q4, r, h, 16, 32768, 4, 69239, 294958, 117, 12338, 2181, 622679
q4, d, -, 16, 32768, 4, 76210, 327726, 194, 16518, 8206, 688215
q4, c, -, 16, 32768, 4, 90858, 327726, 44, 4125, 2050, 753751
q4, r, c, 16, 32768, 4, 70512, 294959, 113, 12333, 6155, 622680
q4, r, h, 16, 32768, 4, 69138, 294958, 108, 12321, 2103, 622679
q4, d, -, 16, 32768, 4, 76226, 327727, 162, 16455, 8207, 688216
q4, c, -, 16, 32768, 4, 92410, 327727, 69, 4153, 2050, 753753
q4, r, c, 16, 32768, 4, 70547, 294958, 122, 12348, 6158, 622679
q4, r, h, 16, 32768, 4, 69212, 294958, 121, 12344, 1889, 622679
q4, d, -, 16, 32768, 4, 79007, 327728, 200, 16514, 8209, 688218
q4, c, -, 16, 32768, 4, 90869, 327726, 40, 4120, 2052, 753751
q4, r, c, 16, 32768, 4, 70499, 294958, 110, 12325, 6155, 622679
q4, r, h, 16, 32768, 4, 69365, 294958, 109, 12274, 2577, 622679
q4, d, -, 16, 32768, 4, 76187, 327727, 159, 16447, 8205, 688216
q4, c, -, 16, 32768, 4, 90851, 327726, 40, 4119, 2050, 753751
q4, r, c, 16, 32768, 4, 70483, 294958, 110, 12325, 6153, 622679
q4, r, h, 16, 32768, 4, 69172, 294958, 114, 12327, 2031, 622679
q4, d, -, 16, 32768, 4, 76205, 327727, 154, 16438, 8205, 688216
q4, c, -, 16, 32768, 4, 90841, 327726, 46, 4129, 2048, 753751
q4, r, c, 16, 32768, 4, 70489, 294958, 106, 12320, 6154, 622679
q4, r, h, 16, 32768, 4, 69366, 294958, 108, 12322, 2379, 622679
q4, d, -, 16, 32768, 4, 76122, 327727, 161, 16455, 8199, 688216
q4, c, -, 16, 32768, 4, 92893, 327726, 62, 4156, 2049, 753752
q4, r, c, 16, 32768, 4, 70491, 294958, 110, 12330, 6152, 622679
q4, r, h, 16, 32768, 4, 69316, 294958, 109, 12246, 2264, 622679
q4, d, -, 16, 32768, 4, 78827, 327727, 167, 16464, 8212, 688218
q4, c, -, 16, 32768, 4, 90837, 327726, 50, 4139, 2052, 753751
q4, r, c, 16, 32768, 4, 70493, 294959, 109, 12323, 6153, 622680
q4, r, h, 16, 32768, 4, 69945, 294958, 118, 12323, 2868, 622679
q4, d, -, 16, 32768, 4, 76189, 327727, 155, 16438, 8206, 688216
q4, c, -, 16, 32768, 4, 90740, 327726, 41, 4120, 2050, 753751
q4, r, c, 16, 32768, 4, 70478, 294958, 105, 12314, 6155, 622679
q4, r, h, 16, 32768, 4, 69231, 294958, 112, 12281, 2078, 622679
q4, d, -, 16, 32768, 4, 76117, 327726, 153, 16435, 8201, 688215
q4, c, -, 16, 32768, 4, 90684, 327726, 44, 4128, 2050, 753751
q4, r, c, 16, 32768, 4, 70573, 294958, 120, 12348, 6156, 622679
q4, r, h, 16, 32768, 4, 69333, 294958, 109, 12322, 2184, 622679
q4, d, -, 16, 32768, 4, 76133, 327727, 160, 16455, 8199, 688216
q4, c, -, 16, 32768, 4, 95460, 327726, 91, 4156, 2049, 753753
q4, r, c, 16, 32768, 4, 70495, 294958, 116, 12337, 6154, 622679
q4, r, h, 16, 32768, 4, 69328, 294958, 113, 12326, 2062, 622679
q4, d, -, 16, 32768, 4, 79367, 327727, 163, 16452, 8206, 688217
q4, c, -, 16, 32768, 4, 90744, 327726, 40, 4120, 2050, 753751
q4, r, c, 16, 32768, 4, 70485, 294958, 114, 12342, 6153, 622679
q4, r, h, 16, 32768, 4, 72064, 294958, 129, 12360, 2658, 622680
q4, d, -, 16, 32768, 4, 76206, 327727, 160, 16448, 8209, 688216
q4, c, -, 16, 32768, 4, 90833, 327726, 41, 4124, 2049, 753751
q4, r, c, 16, 32768, 4, 105432, 294958, 1583, 12447, 6156, 622681
q4, r, h, 16, 32768, 4, 69248, 294958, 108, 12290, 2063, 622679
q4, d, -, 16, 32768, 4, 76239, 327727, 157, 16449, 8210, 688216
q4, c, -, 16, 32768, 4, 90786, 327726, 48, 4137, 2051, 753751
q4, r, c, 16, 32768, 4, 70490, 294958, 115, 12334, 6155, 622679
