bench, mem, temp, row_size, row_count, col_width, offset, cycles, v4
q6, r, c, 8, 43690, 4, 0, 127320
q6, d, c, 8, 43690, 4, 0, 179703
q6, r, h, 8, 43690, 4, 0, 125593
q6, d, h, 8, 43690, 4, 0, 179661
q6, r, c, 8, 43690, 4, 0, 125687
q6, d, c, 8, 43690, 4, 0, 181620
q6, r, h, 8, 43690, 4, 0, 127356
q6, d, h, 8, 43690, 4, 0, 179700
q6, r, c, 8, 43690, 4, 0, 125682
q6, d, c, 8, 43690, 4, 0, 181654
q6, r, h, 8, 43690, 4, 0, 125663
q6, d, h, 8, 43690, 4, 0, 181314
q6, r, c, 8, 43690, 4, 0, 125680
q6, d, c, 8, 43690, 4, 0, 179716
q6, r, h, 8, 43690, 4, 0, 127436
q6, d, h, 8, 43690, 4, 0, 179672
q6, r, c, 8, 43690, 4, 0, 127570
q6, d, c, 8, 43690, 4, 0, 179725
q6, r, h, 8, 43690, 4, 0, 125656
q6, d, h, 8, 43690, 4, 0, 179689
q6, r, c, 8, 43690, 4, 0, 125704
q6, d, c, 8, 43690, 4, 0, 179682
q6, r, h, 8, 43690, 4, 0, 125645
q6, d, h, 8, 43690, 4, 0, 184703
q6, r, c, 8, 43690, 4, 0, 125653
q6, d, c, 8, 43690, 4, 0, 179714
q6, r, h, 8, 43690, 4, 0, 125622
q6, d, h, 8, 43690, 4, 0, 181615
q6, r, c, 8, 43690, 4, 0, 145522
q6, d, c, 8, 43690, 4, 0, 179728
q6, r, h, 8, 43690, 4, 0, 125621
q6, d, h, 8, 43690, 4, 0, 179674
q6, r, c, 8, 43690, 4, 0, 130391
q6, d, c, 8, 43690, 4, 0, 179689
q6, r, h, 8, 43690, 4, 0, 125618
q6, d, h, 8, 43690, 4, 0, 179694
q6, r, c, 8, 43690, 4, 0, 127502
q6, d, c, 8, 43690, 4, 0, 179700
q6, r, h, 8, 43690, 4, 0, 128443
q6, d, h, 8, 43690, 4, 0, 179682
q6, r, c, 8, 43690, 4, 0, 125696
q6, d, c, 8, 43690, 4, 0, 179683
q6, r, h, 8, 43690, 4, 0, 125616
q6, d, h, 8, 43690, 4, 0, 181974
q6, r, c, 8, 43690, 4, 0, 127980
q6, d, c, 8, 43690, 4, 0, 179691
q6, r, h, 8, 43690, 4, 0, 125652
q6, d, h, 8, 43690, 4, 0, 182079
q6, r, c, 8, 43690, 4, 0, 125660
q6, d, c, 8, 43690, 4, 0, 181685
q6, r, h, 8, 43690, 4, 0, 128914
q6, d, h, 8, 43690, 4, 0, 180506
q6, r, c, 8, 43690, 4, 0, 125681
q6, d, c, 8, 43690, 4, 0, 179704
q6, r, h, 8, 43690, 4, 0, 125620
