bench, mem, temp, row_size, row_count, col_width, offset, cycles, v4
q5, r, c, 4, 43690, 4, 0, 100361
q5, d, c, 4, 43690, 4, 0, 231185
q5, r, h, 4, 43690, 4, 0, 73950
q5, d, h, 4, 43690, 4, 0, 230154
q5, r, c, 4, 43690, 4, 0, 100328
q5, d, c, 4, 43690, 4, 0, 231451
q5, r, h, 4, 43690, 4, 0, 73967
q5, d, h, 4, 43690, 4, 0, 229599
q5, r, c, 4, 43690, 4, 0, 100295
q5, d, c, 4, 43690, 4, 0, 231975
q5, r, h, 4, 43690, 4, 0, 73954
q5, d, h, 4, 43690, 4, 0, 230929
q5, r, c, 4, 43690, 4, 0, 100321
q5, d, c, 4, 43690, 4, 0, 232462
q5, r, h, 4, 43690, 4, 0, 73971
q5, d, h, 4, 43690, 4, 0, 232668
q5, r, c, 4, 43690, 4, 0, 100288
q5, d, c, 4, 43690, 4, 0, 232923
q5, r, h, 4, 43690, 4, 0, 75902
q5, d, h, 4, 43690, 4, 0, 228870
q5, r, c, 4, 43690, 4, 0, 100342
q5, d, c, 4, 43690, 4, 0, 228585
q5, r, h, 4, 43690, 4, 0, 73971
q5, d, h, 4, 43690, 4, 0, 228206
q5, r, c, 4, 43690, 4, 0, 100293
q5, d, c, 4, 43690, 4, 0, 232348
q5, r, h, 4, 43690, 4, 0, 73973
q5, d, h, 4, 43690, 4, 0, 232193
q5, r, c, 4, 43690, 4, 0, 100326
q5, d, c, 4, 43690, 4, 0, 231884
q5, r, h, 4, 43690, 4, 0, 73972
q5, d, h, 4, 43690, 4, 0, 230968
q5, r, c, 4, 43690, 4, 0, 100307
q5, d, c, 4, 43690, 4, 0, 231537
q5, r, h, 4, 43690, 4, 0, 73975
q5, d, h, 4, 43690, 4, 0, 234767
q5, r, c, 4, 43690, 4, 0, 100302
q5, d, c, 4, 43690, 4, 0, 230674
q5, r, h, 4, 43690, 4, 0, 73974
q5, d, h, 4, 43690, 4, 0, 230956
q5, r, c, 4, 43690, 4, 0, 100429
q5, d, c, 4, 43690, 4, 0, 228400
q5, r, h, 4, 43690, 4, 0, 73940
q5, d, h, 4, 43690, 4, 0, 227587
q5, r, c, 4, 43690, 4, 0, 100358
q5, d, c, 4, 43690, 4, 0, 231302
q5, r, h, 4, 43690, 4, 0, 73945
q5, d, h, 4, 43690, 4, 0, 229419
q5, r, c, 4, 43690, 4, 0, 100308
q5, d, c, 4, 43690, 4, 0, 232589
q5, r, h, 4, 43690, 4, 0, 73984
q5, d, h, 4, 43690, 4, 0, 227763
q5, r, c, 4, 43690, 4, 0, 100342
q5, d, c, 4, 43690, 4, 0, 229029
q5, r, h, 4, 43690, 4, 0, 73987
q5, d, h, 4, 43690, 4, 0, 231563
q5, r, c, 4, 43690, 4, 0, 100419
q5, d, c, 4, 43690, 4, 0, 243479
q5, r, h, 4, 43690, 4, 0, 73976
q5, d, h, 4, 43690, 4, 0, 230803
q5, r, c, 4, 43690, 4, 0, 100296
