bench, mem, temp, row_size, row_count, col_width, offset, cycles
sum, r, c, 64, 262144, 4, 1, 602403
sum, d, c, 64, 262144, 4, 1, 665846
sum, r, h, 64, 262144, 4, 1, 445013
sum, d, h, 64, 262144, 4, 1, 659043
sum, r, c, 64, 262144, 4, 1, 602489
sum, d, c, 64, 262144, 4, 1, 657990
sum, r, h, 64, 262144, 4, 1, 445397
sum, d, h, 64, 262144, 4, 1, 680208
sum, r, c, 64, 262144, 4, 1, 602663
sum, d, c, 64, 262144, 4, 1, 660067
sum, r, h, 64, 262144, 4, 1, 445495
sum, d, h, 64, 262144, 4, 1, 658572
sum, r, c, 64, 262144, 4, 1, 602446
sum, d, c, 64, 262144, 4, 1, 654789
sum, r, h, 64, 262144, 4, 1, 445286
sum, d, h, 64, 262144, 4, 1, 656816
sum, r, c, 64, 262144, 4, 1, 602435
sum, d, c, 64, 262144, 4, 1, 681058
sum, r, h, 64, 262144, 4, 1, 445585
sum, d, h, 64, 262144, 4, 1, 658807
sum, r, c, 64, 262144, 4, 1, 602501
sum, d, c, 64, 262144, 4, 1, 657334
sum, r, h, 64, 262144, 4, 1, 444962
sum, d, h, 64, 262144, 4, 1, 656388
sum, r, c, 64, 262144, 4, 1, 602618
sum, d, c, 64, 262144, 4, 1, 675728
sum, r, h, 64, 262144, 4, 1, 447001
sum, d, h, 64, 262144, 4, 1, 678403
sum, r, c, 64, 262144, 4, 1, 602607
sum, d, c, 64, 262144, 4, 1, 657576
sum, r, h, 64, 262144, 4, 1, 445609
sum, d, h, 64, 262144, 4, 1, 656700
sum, r, c, 64, 262144, 4, 1, 602473
sum, d, c, 64, 262144, 4, 1, 658096
sum, r, h, 64, 262144, 4, 1, 445669
sum, d, h, 64, 262144, 4, 1, 655176
sum, r, c, 64, 262144, 4, 1, 603975
sum, d, c, 64, 262144, 4, 1, 657447
sum, r, h, 64, 262144, 4, 1, 452890
sum, d, h, 64, 262144, 4, 1, 658507
sum, r, c, 64, 262144, 4, 1, 602350
sum, d, c, 64, 262144, 4, 1, 675329
sum, r, h, 64, 262144, 4, 1, 456635
sum, d, h, 64, 262144, 4, 1, 658084
sum, r, c, 64, 262144, 4, 1, 602538
sum, d, c, 64, 262144, 4, 1, 654956
sum, r, h, 64, 262144, 4, 1, 445707
sum, d, h, 64, 262144, 4, 1, 657402
sum, r, c, 64, 262144, 4, 1, 602499
sum, d, c, 64, 262144, 4, 1, 659539
sum, r, h, 64, 262144, 4, 1, 445132
sum, d, h, 64, 262144, 4, 1, 655537
sum, r, c, 64, 262144, 4, 1, 602502
sum, d, c, 64, 262144, 4, 1, 656388
sum, r, h, 64, 262144, 4, 1, 445637
sum, d, h, 64, 262144, 4, 1, 676213
sum, r, c, 64, 262144, 4, 1, 602581
sum, d, c, 64, 262144, 4, 1, 656848
sum, r, h, 64, 262144, 4, 1, 445827
sum, d, h, 64, 262144, 4, 1, 719493
sum, r, c, 64, 262144, 4, 1, 602496
sum, d, c, 64, 262144, 4, 1, 674490
sum, r, h, 64, 262144, 4, 1, 446585
sum, d, h, 64, 262144, 4, 1, 657497
sum, r, c, 64, 262144, 4, 1, 602571
sum, d, c, 64, 262144, 4, 1, 654575
sum, r, h, 64, 262144, 4, 1, 445853
sum, d, h, 64, 262144, 4, 1, 657069
sum, r, c, 64, 262144, 4, 1, 602460
sum, d, c, 64, 262144, 4, 1, 681075
sum, r, h, 64, 262144, 4, 1, 445522
sum, d, h, 64, 262144, 4, 1, 655210
sum, r, c, 64, 262144, 4, 1, 602354
sum, d, c, 64, 262144, 4, 1, 684233
sum, r, h, 64, 262144, 4, 1, 463910
sum, d, h, 64, 262144, 4, 1, 656106
sum, r, c, 64, 262144, 4, 1, 602579
sum, d, c, 64, 262144, 4, 1, 660320
sum, r, h, 64, 262144, 4, 1, 445347
sum, d, h, 64, 262144, 4, 1, 659105
sum, r, c, 64, 262144, 4, 1, 602434
sum, d, c, 64, 262144, 4, 1, 657155
sum, r, h, 64, 262144, 4, 1, 444934
sum, d, h, 64, 262144, 4, 1, 655393
sum, r, c, 64, 262144, 4, 1, 602549
sum, d, c, 64, 262144, 4, 1, 683248
sum, r, h, 64, 262144, 4, 1, 449201
sum, d, h, 64, 262144, 4, 1, 654914
sum, r, c, 64, 262144, 4, 1, 602583
sum, d, c, 64, 262144, 4, 1, 657423
sum, r, h, 64, 262144, 4, 1, 446076
