bench, mem, temp, row_size, row_count, col_width, offset, cycles, v4
q5, r, c, 64, 43690, 1, 0, 92535
q5, d, c, 64, 43690, 1, 0, 116226
q5, r, h, 64, 43690, 1, 0, 69470
q5, d, h, 64, 43690, 1, 0, 115712
q5, r, c, 64, 43690, 1, 0, 92559
q5, d, c, 64, 43690, 1, 0, 115848
q5, r, h, 64, 43690, 1, 0, 69473
q5, d, h, 64, 43690, 1, 0, 116554
q5, r, c, 64, 43690, 1, 0, 92587
q5, d, c, 64, 43690, 1, 0, 112959
q5, r, h, 64, 43690, 1, 0, 69476
q5, d, h, 64, 43690, 1, 0, 111544
q5, r, c, 64, 43690, 1, 0, 92627
q5, d, c, 64, 43690, 1, 0, 114002
q5, r, h, 64, 43690, 1, 0, 71505
q5, d, h, 64, 43690, 1, 0, 111567
q5, r, c, 64, 43690, 1, 0, 92563
q5, d, c, 64, 43690, 1, 0, 113038
q5, r, h, 64, 43690, 1, 0, 69471
q5, d, h, 64, 43690, 1, 0, 111599
q5, r, c, 64, 43690, 1, 0, 92545
q5, d, c, 64, 43690, 1, 0, 113470
q5, r, h, 64, 43690, 1, 0, 69479
q5, d, h, 64, 43690, 1, 0, 111915
q5, r, c, 64, 43690, 1, 0, 92529
q5, d, c, 64, 43690, 1, 0, 116293
q5, r, h, 64, 43690, 1, 0, 69472
q5, d, h, 64, 43690, 1, 0, 113684
q5, r, c, 64, 43690, 1, 0, 92549
q5, d, c, 64, 43690, 1, 0, 112580
q5, r, h, 64, 43690, 1, 0, 69470
q5, d, h, 64, 43690, 1, 0, 111337
q5, r, c, 64, 43690, 1, 0, 92593
q5, d, c, 64, 43690, 1, 0, 113052
q5, r, h, 64, 43690, 1, 0, 72415
q5, d, h, 64, 43690, 1, 0, 111178
q5, r, c, 64, 43690, 1, 0, 92598
q5, d, c, 64, 43690, 1, 0, 112855
q5, r, h, 64, 43690, 1, 0, 69472
q5, d, h, 64, 43690, 1, 0, 111338
q5, r, c, 64, 43690, 1, 0, 92539
q5, d, c, 64, 43690, 1, 0, 112526
q5, r, h, 64, 43690, 1, 0, 69471
