bench, mem, temp, row_size, row_count, col_width, cycles
q1_new, r, c,64,32768,1,219044
q1_new, r, h,64,32768,1,211450
q1_new, d, -,64,32768,1,327752
q1_new, c, -,64,32768,1,139887
q1_new, r, c,64,32768,1,219242
q1_new, r, h,64,32768,1,218461
q1_new, d, -,64,32768,1,328429
q1_new, c, -,64,32768,1,139734
q1_new, r, c,64,32768,1,221391
q1_new, r, h,64,32768,1,218659
q1_new, d, -,64,32768,1,328489
q1_new, c, -,64,32768,1,138944
q1_new, r, c,64,32768,1,221693
q1_new, r, h,64,32768,1,218601
q1_new, d, -,64,32768,1,325469
q1_new, c, -,64,32768,1,139659
q1_new, r, c,64,32768,1,221077
q1_new, r, h,64,32768,1,218697
q1_new, d, -,64,32768,1,325165
q1_new, c, -,64,32768,1,140367
q1_new, r, c,64,32768,1,221125
q1_new, r, h,64,32768,1,218664
q1_new, d, -,64,32768,1,325237
q1_new, c, -,64,32768,1,140869
q1_new, r, c,64,32768,1,222836
q1_new, r, h,64,32768,1,220199
q1_new, d, -,64,32768,1,324307
q1_new, c, -,64,32768,1,143961
q1_new, r, c,64,32768,1,219191
q1_new, r, h,64,32768,1,217670
q1_new, d, -,64,32768,1,325969
q1_new, c, -,64,32768,1,139793
q1_new, r, c,64,32768,1,219196
q1_new, r, h,64,32768,1,218968
q1_new, d, -,64,32768,1,325841
q1_new, c, -,64,32768,1,140069
q1_new, r, c,64,32768,1,219186
q1_new, r, h,64,32768,1,218443
q1_new, d, -,64,32768,1,325400
q1_new, c, -,64,32768,1,139343
q1_new, r, c,64,32768,1,219172
q1_new, r, h,64,32768,1,219624
q1_new, d, -,64,32768,1,328345
q1_new, c, -,64,32768,1,139781
q1_new, r, c,64,32768,1,221311
q1_new, r, h,64,32768,1,218614
q1_new, d, -,64,32768,1,325827
q1_new, c, -,64,32768,1,139390
q1_new, r, c,64,32768,1,221527
q1_new, r, h,64,32768,1,219002
q1_new, d, -,64,32768,1,325479
q1_new, c, -,64,32768,1,140343
q1_new, r, c,64,32768,1,225915
q1_new, r, h,64,32768,1,218604
q1_new, d, -,64,32768,1,326110
q1_new, c, -,64,32768,1,143473
q1_new, r, c,64,32768,1,221671
q1_new, r, h,64,32768,1,221934
q1_new, d, -,64,32768,1,324291
q1_new, c, -,64,32768,1,141643
q1_new, r, c,64,32768,1,219208
q1_new, r, h,64,32768,1,219757
q1_new, d, -,64,32768,1,325682
q1_new, c, -,64,32768,1,139401
q1_new, r, c,64,32768,1,219192
q1_new, r, h,64,32768,1,220196
q1_new, d, -,64,32768,1,328782
q1_new, c, -,64,32768,1,139434
q1_new, r, c,64,32768,1,219227
q1_new, r, h,64,32768,1,220226
q1_new, d, -,64,32768,1,325417
q1_new, c, -,64,32768,1,139483
q1_new, r, c,64,32768,1,221097
q1_new, r, h,64,32768,1,218591
q1_new, d, -,64,32768,1,326561
q1_new, c, -,64,32768,1,139327
q1_new, r, c,64,32768,1,224377
q1_new, r, h,64,32768,1,218634
q1_new, d, -,64,32768,1,325401
q1_new, c, -,64,32768,1,139608
q1_new, r, c,64,32768,1,222981
q1_new, r, h,64,32768,1,218542
q1_new, d, -,64,32768,1,325220
q1_new, c, -,64,32768,1,143172
q1_new, r, c,64,32768,1,223324
q1_new, r, h,64,32768,1,219535
q1_new, d, -,64,32768,1,324297
q1_new, c, -,64,32768,1,143542
q1_new, r, c,64,32768,1,219196
q1_new, r, h,64,32768,1,220414
q1_new, d, -,64,32768,1,325845
q1_new, c, -,64,32768,1,139293
q1_new, r, c,64,32768,1,219192
q1_new, r, h,64,32768,1,220140
q1_new, d, -,64,32768,1,327991
q1_new, c, -,64,32768,1,139977
q1_new, r, c,64,32768,1,219231
q1_new, r, h,64,32768,1,220051
q1_new, d, -,64,32768,1,325513
q1_new, c, -,64,32768,1,139703
q1_new, r, c,64,32768,1,220867
q1_new, r, h,64,32768,1,218660
q1_new, d, -,64,32768,1,325705
q1_new, c, -,64,32768,1,139493
q1_new, r, c,64,32768,1,221485
q1_new, r, h,64,32768,1,218565
q1_new, d, -,64,32768,1,326206
q1_new, c, -,64,32768,1,139257
q1_new, r, c,64,32768,1,222810
q1_new, r, h,64,32768,1,218620
q1_new, d, -,64,32768,1,326586
q1_new, c, -,64,32768,1,141186
q1_new, r, c,64,32768,1,221393
q1_new, r, h,64,32768,1,219706
q1_new, d, -,64,32768,1,324293
q1_new, c, -,64,32768,1,140986
q1_new, r, c,64,32768,1,219188
q1_new, r, h,64,32768,1,219639
q1_new, d, -,64,32768,1,324238
q1_new, c, -,64,32768,1,141709
q1_new, r, c,64,32768,2,236054
q1_new, r, h,64,32768,2,236525
q1_new, d, -,64,32768,2,357950
q1_new, c, -,64,32768,2,161101
q1_new, r, c,64,32768,2,236048
q1_new, r, h,64,32768,2,239389
q1_new, d, -,64,32768,2,357723
q1_new, c, -,64,32768,2,162116
q1_new, r, c,64,32768,2,238319
q1_new, r, h,64,32768,2,235230
q1_new, d, -,64,32768,2,358017
q1_new, c, -,64,32768,2,161703
q1_new, r, c,64,32768,2,239065
q1_new, r, h,64,32768,2,235946
q1_new, d, -,64,32768,2,358031
q1_new, c, -,64,32768,2,161649
q1_new, r, c,64,32768,2,236057
q1_new, r, h,64,32768,2,236260
q1_new, d, -,64,32768,2,357833
q1_new, c, -,64,32768,2,161260
q1_new, r, c,64,32768,2,240366
q1_new, r, h,64,32768,2,235290
q1_new, d, -,64,32768,2,358440
q1_new, c, -,64,32768,2,161182
q1_new, r, c,64,32768,2,238518
q1_new, r, h,64,32768,2,235282
q1_new, d, -,64,32768,2,357550
q1_new, c, -,64,32768,2,162745
q1_new, r, c,64,32768,2,238556
q1_new, r, h,64,32768,2,236634
q1_new, d, -,64,32768,2,358469
q1_new, c, -,64,32768,2,160873
q1_new, r, c,64,32768,2,236087
q1_new, r, h,64,32768,2,236202
q1_new, d, -,64,32768,2,357708
q1_new, c, -,64,32768,2,161000
q1_new, r, c,64,32768,2,238048
q1_new, r, h,64,32768,2,235211
q1_new, d, -,64,32768,2,357796
q1_new, c, -,64,32768,2,162827
q1_new, r, c,64,32768,2,240038
q1_new, r, h,64,32768,2,235254
q1_new, d, -,64,32768,2,357958
q1_new, c, -,64,32768,2,164695
q1_new, r, c,64,32768,2,236051
q1_new, r, h,64,32768,2,237048
q1_new, d, -,64,32768,2,361591
q1_new, c, -,64,32768,2,161497
q1_new, r, c,64,32768,2,236066
q1_new, r, h,64,32768,2,238084
q1_new, d, -,64,32768,2,358723
q1_new, c, -,64,32768,2,160997
q1_new, r, c,64,32768,2,238168
q1_new, r, h,64,32768,2,235327
q1_new, d, -,64,32768,2,451052
q1_new, c, -,64,32768,2,162463
q1_new, r, c,64,32768,2,236050
q1_new, r, h,64,32768,2,236755
q1_new, d, -,64,32768,2,358017
