bench, mem, temp, row_size, row_count, col_width, cycles
q2_new, r, c,64,43690,1,110443
q2_new, r, h,64,43690,1,109263
q2_new, d, -,64,43690,1,136205
q2_new, r, c,64,43690,1,110469
q2_new, r, h,64,43690,1,109939
q2_new, d, -,64,43690,1,135938
q2_new, r, c,64,43690,1,110435
q2_new, r, h,64,43690,1,109180
q2_new, d, -,64,43690,1,135619
q2_new, r, c,64,43690,1,110433
q2_new, r, h,64,43690,1,109087
q2_new, d, -,64,43690,1,135836
q2_new, r, c,64,43690,1,110438
q2_new, r, h,64,43690,1,111465
q2_new, d, -,64,43690,1,135973
q2_new, r, c,64,43690,1,110450
q2_new, r, h,64,43690,1,110109
q2_new, d, -,64,43690,1,135336
q2_new, r, c,64,43690,1,110450
q2_new, r, h,64,43690,1,109997
q2_new, d, -,64,43690,1,135572
q2_new, r, c,64,43690,1,110442
q2_new, r, h,64,43690,1,109835
q2_new, d, -,64,43690,1,135689
q2_new, r, c,64,43690,1,110432
q2_new, r, h,64,43690,1,109730
q2_new, d, -,64,43690,1,135282
q2_new, r, c,64,43690,1,110432
q2_new, r, h,64,43690,1,109894
q2_new, d, -,64,43690,1,136320
q2_new, r, c,64,43690,1,110474
q2_new, r, h,64,43690,1,110426
q2_new, d, -,64,43690,1,136164
q2_new, r, c,64,43690,1,110429
q2_new, r, h,64,43690,1,110002
q2_new, d, -,64,43690,1,135574
q2_new, r, c,64,43690,1,110429
q2_new, r, h,64,43690,1,109986
q2_new, d, -,64,43690,1,135520
q2_new, r, c,64,43690,1,110446
q2_new, r, h,64,43690,1,109762
q2_new, d, -,64,43690,1,135514
q2_new, r, c,64,43690,1,110435
q2_new, r, h,64,43690,1,109126
q2_new, d, -,64,43690,1,136015
q2_new, r, c,64,43690,1,110455
q2_new, r, h,64,43690,1,109096
q2_new, d, -,64,43690,1,135927
q2_new, r, c,64,43690,1,110449
q2_new, r, h,64,43690,1,110193
q2_new, d, -,64,43690,1,136205
q2_new, r, c,64,43690,1,110423
q2_new, r, h,64,43690,1,110120
q2_new, d, -,64,43690,1,135793
q2_new, r, c,64,43690,1,110426
q2_new, r, h,64,43690,1,119077
q2_new, d, -,64,43690,1,136143
q2_new, r, c,64,43690,1,110426
q2_new, r, h,64,43690,1,110579
q2_new, d, -,64,43690,1,136148
q2_new, r, c,64,43690,1,110473
q2_new, r, h,64,43690,1,110549
q2_new, d, -,64,43690,1,135609
q2_new, r, c,64,43690,1,110458
q2_new, r, h,64,43690,1,110483
q2_new, d, -,64,43690,1,134940
q2_new, r, c,64,43690,1,110446
q2_new, r, h,64,43690,1,109904
q2_new, d, -,64,43690,1,136139
q2_new, r, c,64,43690,1,110464
q2_new, r, h,64,43690,1,109920
q2_new, d, -,64,43690,1,138619
q2_new, r, c,64,43690,1,110427
q2_new, r, h,64,43690,1,109884
q2_new, d, -,64,43690,1,137986
q2_new, r, c,64,43690,1,110442
q2_new, r, h,64,43690,1,109954
q2_new, d, -,64,43690,1,137150
q2_new, r, c,64,43690,1,110445
q2_new, r, h,64,43690,1,109902
q2_new, d, -,64,43690,1,137196
q2_new, r, c,64,43690,1,110429
q2_new, r, h,64,43690,1,109895
q2_new, d, -,64,43690,1,134494
q2_new, r, c,64,43690,1,113027
q2_new, r, h,64,43690,1,109918
q2_new, d, -,64,43690,1,135193
q2_new, r, c,64,43690,1,113116
q2_new, r, h,64,43690,1,109869
q2_new, d, -,64,43690,1,134461
q2_new, r, c,64,43690,2,110402
q2_new, r, h,64,43690,2,111025
q2_new, d, -,64,43690,2,135175
q2_new, r, c,64,43690,2,110373
q2_new, r, h,64,43690,2,109881
q2_new, d, -,64,43690,2,138286
q2_new, r, c,64,43690,2,114615
q2_new, r, h,64,43690,2,109924
q2_new, d, -,64,43690,2,135330
q2_new, r, c,64,43690,2,110353
q2_new, r, h,64,43690,2,110632
q2_new, d, -,64,43690,2,135575
q2_new, r, c,64,43690,2,110378
q2_new, r, h,64,43690,2,109830
q2_new, d, -,64,43690,2,137419
q2_new, r, c,64,43690,2,112612
q2_new, r, h,64,43690,2,109854
q2_new, d, -,64,43690,2,135144
q2_new, r, c,64,43690,2,110282
q2_new, r, h,64,43690,2,109735
q2_new, d, -,64,43690,2,135498
q2_new, r, c,64,43690,2,110293
q2_new, r, h,64,43690,2,109773
q2_new, d, -,64,43690,2,138504
q2_new, r, c,64,43690,2,112555
q2_new, r, h,64,43690,2,109849
q2_new, d, -,64,43690,2,135348
q2_new, r, c,64,43690,2,110354
q2_new, r, h,64,43690,2,109881
q2_new, d, -,64,43690,2,135237
q2_new, r, c,64,43690,2,110332
q2_new, r, h,64,43690,2,109882
q2_new, d, -,64,43690,2,137543
q2_new, r, c,64,43690,2,112188
q2_new, r, h,64,43690,2,110053
q2_new, d, -,64,43690,2,135170
q2_new, r, c,64,43690,2,110334
q2_new, r, h,64,43690,2,110047
q2_new, d, -,64,43690,2,134895
q2_new, r, c,64,43690,2,110329
q2_new, r, h,64,43690,2,109829
q2_new, d, -,64,43690,2,137967
q2_new, r, c,64,43690,2,112992
q2_new, r, h,64,43690,2,109780
q2_new, d, -,64,43690,2,134728
q2_new, r, c,64,43690,2,110302
q2_new, r, h,64,43690,2,110812
q2_new, d, -,64,43690,2,134440
q2_new, r, c,64,43690,2,110277
q2_new, r, h,64,43690,2,109766
q2_new, d, -,64,43690,2,137443
q2_new, r, c,64,43690,2,112494
q2_new, r, h,64,43690,2,109874
q2_new, d, -,64,43690,2,135818
q2_new, r, c,64,43690,2,110283
q2_new, r, h,64,43690,2,111533
q2_new, d, -,64,43690,2,134953
q2_new, r, c,64,43690,2,110346
q2_new, r, h,64,43690,2,109829
q2_new, d, -,64,43690,2,137497
q2_new, r, c,64,43690,2,113461
q2_new, r, h,64,43690,2,109847
q2_new, d, -,64,43690,2,135338
q2_new, r, c,64,43690,2,110283
q2_new, r, h,64,43690,2,110601
q2_new, d, -,64,43690,2,135216
q2_new, r, c,64,43690,2,110338
q2_new, r, h,64,43690,2,109775
q2_new, d, -,64,43690,2,137266
q2_new, r, c,64,43690,2,112578
q2_new, r, h,64,43690,2,109853
q2_new, d, -,64,43690,2,134938
q2_new, r, c,64,43690,2,110362
q2_new, r, h,64,43690,2,110114
q2_new, d, -,64,43690,2,135074
q2_new, r, c,64,43690,2,110287
q2_new, r, h,64,43690,2,109976
q2_new, d, -,64,43690,2,137258
q2_new, r, c,64,43690,2,113400
q2_new, r, h,64,43690,2,109843
q2_new, d, -,64,43690,2,135437
q2_new, r, c,64,43690,2,110281
q2_new, r, h,64,43690,2,109738
q2_new, d, -,64,43690,2,135129
q2_new, r, c,64,43690,2,110282
q2_new, r, h,64,43690,2,109859
q2_new, d, -,64,43690,2,137657
q2_new, r, c,64,43690,2,112709
q2_new, r, h,64,43690,2,109929
q2_new, d, -,64,43690,2,134944
q2_new, r, c,64,43690,4,110136
q2_new, r, h,64,43690,4,109618
q2_new, d, -,64,43690,4,137400
q2_new, r, c,64,43690,4,110161
q2_new, r, h,64,43690,4,109683
q2_new, d, -,64,43690,4,137739
q2_new, r, c,64,43690,4,110180
q2_new, r, h,64,43690,4,110430
q2_new, d, -,64,43690,4,135290
q2_new, r, c,64,43690,4,110163
q2_new, r, h,64,43690,4,110269
q2_new, d, -,64,43690,4,135400
q2_new, r, c,64,43690,4,113274
q2_new, r, h,64,43690,4,109780
q2_new, d, -,64,43690,4,135201
q2_new, r, c,64,43690,4,113369
q2_new, r, h,64,43690,4,109694
q2_new, d, -,64,43690,4,134954
q2_new, r, c,64,43690,4,110179
q2_new, r, h,64,43690,4,109701
q2_new, d, -,64,43690,4,137666
q2_new, r, c,64,43690,4,110190
q2_new, r, h,64,43690,4,109735
q2_new, d, -,64,43690,4,137435
q2_new, r, c,64,43690,4,110163
q2_new, r, h,64,43690,4,110319
q2_new, d, -,64,43690,4,135120
q2_new, r, c,64,43690,4,110177
q2_new, r, h,64,43690,4,110302
q2_new, d, -,64,43690,4,134278
q2_new, r, c,64,43690,4,113422
q2_new, r, h,64,43690,4,109728
q2_new, d, -,64,43690,4,134724
q2_new, r, c,64,43690,4,110164
q2_new, r, h,64,43690,4,109717
q2_new, d, -,64,43690,4,134773
q2_new, r, c,64,43690,4,110174
q2_new, r, h,64,43690,4,109744
q2_new, d, -,64,43690,4,138675
q2_new, r, c,64,43690,4,110162
q2_new, r, h,64,43690,4,109705
q2_new, d, -,64,43690,4,137080
q2_new, r, c,64,43690,4,110170
q2_new, r, h,64,43690,4,111797
q2_new, d, -,64,43690,4,135038
q2_new, r, c,64,43690,4,113545
q2_new, r, h,64,43690,4,109702
q2_new, d, -,64,43690,4,134924
q2_new, r, c,64,43690,4,113580
