bench, mem, temp, row_size, row_count, col_width, offset, cycles, v1
q1, r, h, 64, 32768, 2, 0, 49563
q1, d, h, 64, 32768, 2, 0, 86000
q1, r, c, 64, 32768, 2, 0, 1453585
q1, d, c, 64, 32768, 2, 0, 88038
q1, r, h, 64, 32768, 2, 0, 49564
q1, d, h, 64, 32768, 2, 0, 86230
q1, r, c, 64, 32768, 2, 0, 1453541
q1, d, c, 64, 32768, 2, 0, 88152
q1, r, h, 64, 32768, 2, 0, 52833
q1, d, h, 64, 32768, 2, 0, 86634
q1, r, c, 64, 32768, 2, 0, 1453685
q1, d, c, 64, 32768, 2, 0, 87300
q1, r, h, 64, 32768, 2, 0, 49565
q1, d, h, 64, 32768, 2, 0, 88583
q1, r, c, 64, 32768, 2, 0, 1453296
q1, d, c, 64, 32768, 2, 0, 88030
q1, r, h, 64, 32768, 2, 0, 49566
q1, d, h, 64, 32768, 2, 0, 85886
q1, r, c, 64, 32768, 2, 0, 1453461
q1, d, c, 64, 32768, 2, 0, 88059
q1, r, h, 64, 32768, 2, 0, 49549
q1, d, h, 64, 32768, 2, 0, 91150
q1, r, c, 64, 32768, 2, 0, 1453408
q1, d, c, 64, 32768, 2, 0, 87572
q1, r, h, 64, 32768, 2, 0, 49568
q1, d, h, 64, 32768, 2, 0, 85952
q1, r, c, 64, 32768, 2, 0, 1453617
q1, d, c, 64, 32768, 2, 0, 87692
q1, r, h, 64, 32768, 2, 0, 49550
q1, d, h, 64, 32768, 2, 0, 86012
q1, r, c, 64, 32768, 2, 0, 1453442
q1, d, c, 64, 32768, 2, 0, 87789
q1, r, h, 64, 32768, 2, 0, 49567
q1, d, h, 64, 32768, 2, 0, 90369
q1, r, c, 64, 32768, 2, 0, 1453506
q1, d, c, 64, 32768, 2, 0, 89765
q1, r, h, 64, 32768, 2, 0, 49551
q1, d, h, 64, 32768, 2, 0, 86214
q1, r, c, 64, 32768, 2, 0, 1453661
q1, d, c, 64, 32768, 2, 0, 87729
q1, r, h, 64, 32768, 2, 0, 49568
q1, d, h, 64, 32768, 2, 0, 86560
q1, r, c, 64, 32768, 2, 0, 1453546
q1, d, c, 64, 32768, 2, 0, 88286
q1, r, h, 64, 32768, 2, 0, 49569
q1, d, h, 64, 32768, 2, 0, 86498
q1, r, c, 64, 32768, 2, 0, 1453379
q1, d, c, 64, 32768, 2, 0, 91736
q1, r, h, 64, 32768, 2, 0, 49555
q1, d, h, 64, 32768, 2, 0, 85854
q1, r, c, 64, 32768, 2, 0, 1453537
q1, d, c, 64, 32768, 2, 0, 87604
q1, r, h, 64, 32768, 2, 0, 49556
q1, d, h, 64, 32768, 2, 0, 86186
q1, r, c, 64, 32768, 2, 0, 1453555
q1, d, c, 64, 32768, 2, 0, 87702
q1, r, h, 64, 32768, 2, 0, 52807
q1, d, h, 64, 32768, 2, 0, 85979
q1, r, c, 64, 32768, 2, 0, 1453617
q1, d, c, 64, 32768, 2, 0, 87621
q1, r, h, 64, 32768, 2, 0, 51578
q1, d, h, 64, 32768, 2, 0, 86391
q1, r, c, 64, 32768, 2, 0, 1453611
q1, d, c, 64, 32768, 2, 0, 90027
q1, r, h, 64, 32768, 2, 0, 49565
q1, d, h, 64, 32768, 2, 0, 90279
q1, r, c, 64, 32768, 2, 0, 1453785
q1, d, c, 64, 32768, 2, 0, 87895
q1, r, h, 64, 32768, 2, 0, 49565
q1, d, h, 64, 32768, 2, 0, 86341
q1, r, c, 64, 32768, 2, 0, 1453590
q1, d, c, 64, 32768, 2, 0, 88057
