bench, mem, temp, row_size, row_count, col_width, offset, cycles, v4
q6, r, c, 64, 43690, 1, 0, 95315
q6, d, c, 64, 43690, 1, 0, 134735
q6, r, h, 64, 43690, 1, 0, 90339
q6, d, h, 64, 43690, 1, 0, 137301
q6, r, c, 64, 43690, 1, 0, 95286
q6, d, c, 64, 43690, 1, 0, 140628
q6, r, h, 64, 43690, 1, 0, 90347
q6, d, h, 64, 43690, 1, 0, 139006
q6, r, c, 64, 43690, 1, 0, 96201
q6, d, c, 64, 43690, 1, 0, 134981
q6, r, h, 64, 43690, 1, 0, 93785
q6, d, h, 64, 43690, 1, 0, 134132
q6, r, c, 64, 43690, 1, 0, 95310
q6, d, c, 64, 43690, 1, 0, 135792
q6, r, h, 64, 43690, 1, 0, 90327
q6, d, h, 64, 43690, 1, 0, 133857
q6, r, c, 64, 43690, 1, 0, 95293
q6, d, c, 64, 43690, 1, 0, 166561
q6, r, h, 64, 43690, 1, 0, 90332
q6, d, h, 64, 43690, 1, 0, 138984
q6, r, c, 64, 43690, 1, 0, 95296
q6, d, c, 64, 43690, 1, 0, 134859
q6, r, h, 64, 43690, 1, 0, 90340
q6, d, h, 64, 43690, 1, 0, 134027
q6, r, c, 64, 43690, 1, 0, 95326
q6, d, c, 64, 43690, 1, 0, 134915
q6, r, h, 64, 43690, 1, 0, 90330
q6, d, h, 64, 43690, 1, 0, 134752
q6, r, c, 64, 43690, 1, 0, 95261
q6, d, c, 64, 43690, 1, 0, 135340
q6, r, h, 64, 43690, 1, 0, 90329
q6, d, h, 64, 43690, 1, 0, 134044
q6, r, c, 64, 43690, 1, 0, 95246
q6, d, c, 64, 43690, 1, 0, 134599
q6, r, h, 64, 43690, 1, 0, 90333
q6, d, h, 64, 43690, 1, 0, 133840
q6, r, c, 64, 43690, 1, 0, 95276
q6, d, c, 64, 43690, 1, 0, 134838
q6, r, h, 64, 43690, 1, 0, 90322
q6, d, h, 64, 43690, 1, 0, 134203
q6, r, c, 64, 43690, 1, 0, 95293
q6, d, c, 64, 43690, 1, 0, 134892
q6, r, h, 64, 43690, 1, 0, 90330
q6, d, h, 64, 43690, 1, 0, 134170
q6, r, c, 64, 43690, 1, 0, 95258
q6, d, c, 64, 43690, 1, 0, 134208
q6, r, h, 64, 43690, 1, 0, 90334
q6, d, h, 64, 43690, 1, 0, 134213
q6, r, c, 64, 43690, 1, 0, 95280
q6, d, c, 64, 43690, 1, 0, 135007
q6, r, h, 64, 43690, 1, 0, 90332
q6, d, h, 64, 43690, 1, 0, 133715
q6, r, c, 64, 43690, 1, 0, 95288
q6, d, c, 64, 43690, 1, 0, 134774
q6, r, h, 64, 43690, 1, 0, 90319
q6, d, h, 64, 43690, 1, 0, 134195
q6, r, c, 64, 43690, 1, 0, 95258
q6, d, c, 64, 43690, 1, 0, 138595
q6, r, h, 64, 43690, 1, 0, 92293
q6, d, h, 64, 43690, 1, 0, 134006
