bench, mem, temp, row_size, row_count, col_width, cycles, l1_references, l1_refills, l2_references, l2_refills, inst_retired
q3, r, c, 16, 43690, 4, 103343, 429035, 102, 10977, 5476, 858064
q3, r, h, 16, 43690, 4, 102807, 429035, 142, 10805, 1395, 858064
q3, d, -, 16, 43690, 4, 116685, 478673, 206, 21937, 10957, 1001031
q3, c, -, 16, 43690, 4, 148175, 478674, 804, 11009, 5428, 1100335
q3, r, c, 16, 43690, 4, 103378, 429035, 106, 10974, 5475, 858064
q3, r, h, 16, 43690, 4, 101999, 429035, 97, 10802, 1479, 858064
q3, d, -, 16, 43690, 4, 118012, 478673, 220, 21961, 10953, 1001032
q3, c, -, 16, 43690, 4, 147453, 478673, 813, 10997, 5432, 1100333
q3, r, c, 16, 43690, 4, 104299, 429035, 119, 11008, 5479, 858065
q3, r, h, 16, 43690, 4, 102022, 429035, 104, 10830, 1360, 858064
q3, d, -, 16, 43690, 4, 116554, 478674, 205, 21926, 10943, 1001032
q3, c, -, 16, 43690, 4, 147818, 478674, 751, 11063, 5437, 1100334
q3, r, c, 16, 43690, 4, 103334, 429035, 96, 10965, 5476, 858064
q3, r, h, 16, 43690, 4, 103222, 429035, 100, 10864, 1562, 858066
q3, d, -, 16, 43690, 4, 116553, 478673, 205, 21929, 10948, 1001031
q3, c, -, 16, 43690, 4, 147339, 478674, 698, 10994, 5441, 1100334
q3, r, c, 16, 43690, 4, 103340, 429035, 97, 10965, 5476, 858064
q3, r, h, 16, 43690, 4, 105270, 429036, 102, 10978, 1525, 858066
q3, d, -, 16, 43690, 4, 116411, 478674, 187, 21899, 10941, 1001032
q3, c, -, 16, 43690, 4, 147954, 478673, 851, 11036, 5430, 1100333
q3, r, c, 16, 43690, 4, 103370, 429035, 95, 10959, 5478, 858064
q3, r, h, 16, 43690, 4, 105006, 429035, 330, 10990, 1409, 858065
q3, d, -, 16, 43690, 4, 116460, 478673, 210, 21942, 10948, 1001031
q3, c, -, 16, 43690, 4, 147432, 478673, 733, 11019, 5435, 1100334
q3, r, c, 16, 43690, 4, 104456, 429035, 111, 10982, 5479, 858066
q3, r, h, 16, 43690, 4, 102000, 429035, 92, 10712, 1404, 858064
q3, d, -, 16, 43690, 4, 116709, 478673, 209, 21927, 10958, 1001031
q3, c, -, 16, 43690, 4, 147957, 478674, 794, 11009, 5432, 1100335
q3, r, c, 16, 43690, 4, 103336, 429035, 98, 10967, 5476, 858064
q3, r, h, 16, 43690, 4, 104961, 429035, 589, 10962, 1322, 858064
q3, d, -, 16, 43690, 4, 116556, 478673, 205, 21932, 10947, 1001031
q3, c, -, 16, 43690, 4, 147477, 478674, 773, 10968, 5429, 1100334
q3, r, c, 16, 43690, 4, 103340, 429035, 98, 10972, 5476, 858064
q3, r, h, 16, 43690, 4, 103245, 429035, 114, 10849, 1442, 858065
q3, d, -, 16, 43690, 4, 116568, 478673, 208, 21933, 10949, 1001031
q3, c, -, 16, 43690, 4, 148019, 478673, 795, 11028, 5435, 1100336
q3, r, c, 16, 43690, 4, 103337, 429035, 96, 10965, 5476, 858064
q3, r, h, 16, 43690, 4, 102641, 429035, 118, 10840, 1417, 858064
q3, d, -, 16, 43690, 4, 118521, 478673, 200, 21915, 10941, 1001032
q3, c, -, 16, 43690, 4, 146942, 478673, 755, 11019, 5435, 1100333
q3, r, c, 32, 43690, 4, 103421, 429035, 106, 10986, 5482, 858064
q3, r, h, 32, 43690, 4, 102409, 429035, 132, 10811, 1362, 858064
q3, d, -, 32, 43690, 4, 122637, 478673, 425, 43858, 21895, 1001032
q3, c, -, 32, 43690, 4, 148035, 478674, 833, 10960, 5424, 1100334
q3, r, c, 32, 43690, 4, 103361, 429035, 99, 10966, 5478, 858064
q3, r, h, 32, 43690, 4, 102865, 429037, 100, 10840, 1379, 858067
q3, d, -, 32, 43690, 4, 120443, 478673, 406, 43828, 21896, 1001031
q3, c, -, 32, 43690, 4, 147272, 478674, 711, 10978, 5439, 1100336
q3, r, c, 32, 43690, 4, 103332, 429035, 97, 10964, 5476, 858064
q3, r, h, 32, 43690, 4, 104545, 429035, 363, 10888, 1260, 858064
q3, d, -, 32, 43690, 4, 122624, 478673, 409, 43838, 21890, 1001032
q3, c, -, 32, 43690, 4, 147311, 478674, 762, 10988, 5432, 1100334
q3, r, c, 32, 43690, 4, 104426, 429035, 126, 10997, 5480, 858065
q3, r, h, 32, 43690, 4, 102502, 429035, 147, 10834, 1324, 858064
q3, d, -, 32, 43690, 4, 120236, 478673, 402, 43826, 21886, 1001031
q3, c, -, 32, 43690, 4, 147313, 478673, 811, 11043, 5426, 1100333
q3, r, c, 32, 43690, 4, 104369, 429036, 106, 10993, 5478, 858066
q3, r, h, 32, 43690, 4, 101999, 429035, 93, 10699, 1275, 858064
q3, d, -, 32, 43690, 4, 119938, 478673, 390, 43792, 21882, 1001031
q3, c, -, 32, 43690, 4, 147822, 478674, 831, 10984, 5425, 1100334
q3, r, c, 32, 43690, 4, 103359, 429035, 104, 10981, 5476, 858064
q3, r, h, 32, 43690, 4, 102555, 429035, 161, 10811, 1256, 858064
q3, d, -, 32, 43690, 4, 120412, 478673, 408, 43833, 21901, 1001031
q3, c, -, 32, 43690, 4, 146329, 478674, 724, 11001, 5432, 1100334
q3, r, c, 32, 43690, 4, 103342, 429035, 96, 10961, 5476, 858064
q3, r, h, 32, 43690, 4, 102520, 429035, 133, 10817, 1276, 858064
q3, d, -, 32, 43690, 4, 122226, 478674, 427, 43879, 21898, 1001033
q3, c, -, 32, 43690, 4, 147626, 478674, 770, 11019, 5428, 1100335
q3, r, c, 32, 43690, 4, 110004, 429035, 390, 11001, 5476, 858065
q3, r, h, 32, 43690, 4, 102094, 429035, 91, 10683, 1269, 858064
q3, d, -, 32, 43690, 4, 120367, 478673, 406, 43836, 21901, 1001031
q3, c, -, 32, 43690, 4, 147897, 478673, 816, 10950, 5424, 1100333
q3, r, c, 32, 43690, 4, 103334, 429035, 95, 10957, 5476, 858064
q3, r, h, 32, 43690, 4, 101913, 429035, 92, 10822, 1401, 858064
q3, d, -, 32, 43690, 4, 183141, 478674, 6113, 44068, 21890, 1001035
q3, c, -, 32, 43690, 4, 146994, 478673, 765, 11001, 5429, 1100333
q3, r, c, 32, 43690, 4, 103344, 429035, 96, 10962, 5476, 858064
q3, r, h, 32, 43690, 4, 102012, 429035, 90, 10802, 1170, 858064
q3, d, -, 32, 43690, 4, 121114, 478673, 392, 43811, 21878, 1001032
q3, c, -, 32, 43690, 4, 148337, 478674, 865, 10991, 5422, 1100334
q3, r, c, 64, 43690, 4, 103348, 429035, 97, 10968, 5476, 858064
q3, r, h, 64, 43690, 4, 103077, 429035, 218, 10954, 1148, 858064
q3, d, -, 64, 43690, 4, 132945, 478673, 802, 87619, 43773, 1001031
q3, c, -, 64, 43690, 4, 147788, 478674, 764, 10976, 5431, 1100336
q3, r, c, 64, 43690, 4, 103343, 429035, 97, 10965, 5476, 858064
q3, r, h, 64, 43690, 4, 102025, 429035, 106, 10814, 1335, 858064
q3, d, -, 64, 43690, 4, 132555, 478673, 755, 87535, 43748, 1001031
q3, c, -, 64, 43690, 4, 148086, 478674, 852, 11004, 5423, 1100334
q3, r, c, 64, 43690, 4, 103335, 429035, 97, 10969, 5476, 858064
q3, r, h, 64, 43690, 4, 101896, 429035, 90, 10819, 1292, 858064
q3, d, -, 64, 43690, 4, 135059, 478673, 869, 87629, 43759, 1001032
q3, c, -, 64, 43690, 4, 146341, 478674, 695, 11017, 5435, 1100334
q3, r, c, 64, 43690, 4, 103339, 429035, 97, 10969, 5476, 858064
q3, r, h, 64, 43690, 4, 101934, 429035, 88, 10953, 1133, 858064
q3, d, -, 64, 43690, 4, 133136, 478674, 799, 87624, 43783, 1001032
q3, c, -, 64, 43690, 4, 147796, 478674, 847, 10968, 5419, 1100334
q3, r, c, 64, 43690, 4, 104254, 429036, 116, 11001, 5476, 858066
q3, r, h, 64, 43690, 4, 102088, 429035, 90, 10939, 1269, 858064
q3, d, -, 64, 43690, 4, 132745, 478673, 760, 87534, 43756, 1001031
q3, c, -, 64, 43690, 4, 147283, 478673, 768, 10984, 5433, 1100333
q3, r, c, 64, 43690, 4, 104147, 429035, 110, 10978, 5477, 858065
q3, r, h, 64, 43690, 4, 102183, 429035, 92, 10702, 1466, 858064
q3, d, -, 64, 43690, 4, 132669, 478673, 775, 87579, 43758, 1001031
q3, c, -, 64, 43690, 4, 146985, 478674, 750, 10967, 5426, 1100334
q3, r, c, 64, 43690, 4, 103350, 429035, 99, 10970, 5476, 858064
q3, r, h, 64, 43690, 4, 102367, 429035, 115, 10833, 1307, 858064
