bench, mem, temp, row_size, row_count, col_width, cycles,l1_acc,l1_refills,l2_acc,l2_refills,inst_retired
q2_new, r, c,64,43690,4,147537,611693,100,10975,5477,1223378
q2_new, r, h,64,43690,4,146346,611693,104,10980,1580,1223378
q2_new, d, -,64,43690,4,177978,655392,838,87672,43781,1354466
q2_new, r, c,64,43690,4,147545,611692,100,10972,5475,1223377
q2_new, r, h,64,43690,4,146182,611693,104,10965,1757,1223378
q2_new, d, -,64,43690,4,177657,655392,814,87669,43786,1354466
q2_new, r, c,64,43690,4,147540,611694,105,10992,5476,1223378
q2_new, r, h,64,43690,4,146269,611693,104,10981,1725,1223378
q2_new, d, -,64,43690,4,181514,655392,845,87707,43769,1354468
q2_new, r, c,64,43690,8,122103,502492,188,21899,10935,1026817
q2_new, r, h,64,43690,8,139315,550773,388,21958,5924,1113723
q2_new, d, -,64,43690,8,176049,655393,806,87642,43772,1354466
q2_new, r, c,64,43690,8,154340,611693,211,21948,10938,1223379
q2_new, r, h,64,43690,8,147789,611692,202,21881,5684,1223377
q2_new, d, -,64,43690,8,178344,655394,825,87676,43789,1354468
q2_new, r, c,64,43690,8,149411,611692,195,21918,10936,1223377
q2_new, r, h,64,43690,8,150783,611692,266,21958,5744,1223379
q2_new, d, -,64,43690,8,176190,655393,805,87644,43791,1354466
q2_new, r, c,64,43690,8,154804,611693,214,21976,10938,1223379
q2_new, r, h,64,43690,8,148171,611692,199,21901,6439,1223377
q2_new, d, -,64,43690,8,176062,655393,808,87649,43782,1354466
q2_new, r, c,64,43690,8,149407,611692,195,21918,10936,1223377
q2_new, r, h,64,43690,8,148131,611692,205,21931,6200,1223377
q2_new, d, -,64,43690,8,178134,655393,819,87682,43781,1354467
q2_new, r, c,64,43690,8,164781,611692,811,21952,10938,1223378
q2_new, r, h,64,43690,8,148152,611692,226,21961,6459,1223377
q2_new, d, -,64,43690,8,176054,655393,878,87788,43776,1354466
q2_new, r, c,64,43690,8,149469,611693,213,21948,10936,1223377
q2_new, r, h,64,43690,8,147731,611693,198,21918,5539,1223377
q2_new, d, -,64,43690,8,176130,655393,805,87649,43778,1354467
q2_new, r, c,64,43690,8,151699,611692,204,21933,10936,1223378
q2_new, r, h,64,43690,8,148161,611692,197,21919,6313,1223377
q2_new, d, -,64,43690,8,175998,655393,799,87632,43767,1354466
q2_new, r, c,64,43690,8,149443,611692,211,21946,10938,1223377
q2_new, r, h,64,43690,8,148030,611692,202,21930,6312,1223377
q2_new, d, -,64,43690,8,182283,655393,815,87672,43782,1354467
q2_new, r, c,64,43690,8,149441,611692,194,21916,10937,1223377
q2_new, r, h,64,43690,8,150545,611693,216,21968,6078,1223379
q2_new, d, -,64,43690,8,176049,655393,804,87643,43767,1354466
q2_new, r, c,64,43690,16,150308,611706,377,43776,21867,1157863
q2_new, r, h,64,43690,16,160944,693730,387,43805,21071,1219381
q2_new, d, -,64,43690,16,183263,742772,817,87664,43775,1354466
q2_new, r, c,64,43690,16,163742,699083,376,43783,21865,1223397
q2_new, r, h,64,43690,16,161175,699082,400,43827,19873,1223395
q2_new, d, -,64,43690,16,182773,742772,827,87658,43787,1354466
q2_new, r, c,64,43690,16,161415,699082,375,43778,21862,1223395
q2_new, r, h,64,43690,16,163656,699083,416,43832,20222,1223397
q2_new, d, -,64,43690,16,180345,742772,808,87654,43789,1354465
q2_new, r, c,64,43690,16,161395,699082,411,43854,21863,1223395
q2_new, r, h,64,43690,16,164251,699084,419,43863,19569,1223398
q2_new, d, -,64,43690,16,180336,742772,808,87647,43791,1354465
q2_new, r, c,64,43690,16,252549,699082,3985,43932,21865,1223396
q2_new, r, h,64,43690,16,161347,699082,428,43832,20339,1223395
q2_new, d, -,64,43690,16,187331,742773,882,87805,43788,1354467
q2_new, r, c,64,43690,16,161702,699082,408,43843,21885,1223395
q2_new, r, h,64,43690,16,161105,699082,398,43815,20000,1223395
q2_new, d, -,64,43690,16,187988,742772,815,87671,43790,1354467
q2_new, r, c,64,43690,16,164215,699082,389,43806,21869,1223396
q2_new, r, h,64,43690,16,161210,699082,402,43831,20857,1223395
q2_new, d, -,64,43690,16,203860,742775,2275,87701,43785,1354470
q2_new, r, c,64,43690,16,161461,699082,398,43821,21865,1223395
q2_new, r, h,64,43690,16,166301,699082,521,43845,19691,1223396
q2_new, d, -,64,43690,16,180244,742772,807,87644,43788,1354465
q2_new, r, c,64,43690,16,161665,699082,406,43840,21883,1223395
q2_new, r, h,64,43690,16,163634,699082,416,43854,20637,1223396
q2_new, d, -,64,43690,16,179986,742772,803,87637,43765,1354465
q2_new, r, c,64,43690,16,163969,699083,384,43794,21870,1223398
q2_new, r, h,64,43690,16,161079,699082,397,43805,20069,1223395
q2_new, d, -,64,43690,16,182730,742773,816,87659,43790,1354468
