bench, mem, temp, row_size, row_count, col_width, offset, cycles, l1_total
q1, d, c, 64, 32768, 1, 0, 43872, 262551
q1, d, c, 64, 32768, 1, 0, 45571, 263943
q1, d, c, 64, 32768, 1, 0, 43864, 262548
q1, d, c, 64, 32768, 1, 0, 43852, 262550
q1, d, c, 64, 32768, 1, 0, 43845, 262552
q1, d, c, 64, 32768, 1, 0, 43848, 262550
q1, d, c, 64, 32768, 1, 0, 43837, 262552
q1, d, c, 64, 32768, 1, 0, 45354, 263997
q1, d, c, 64, 32768, 1, 0, 43851, 262552
q1, d, c, 64, 32768, 1, 0, 43848, 262554
q1, d, c, 64, 32768, 1, 0, 45857, 263833
q1, d, c, 64, 32768, 1, 0, 43852, 262552
q1, d, c, 64, 32768, 1, 0, 43858, 262552
q1, d, c, 64, 32768, 1, 0, 43883, 262550
q1, d, c, 64, 32768, 1, 0, 43850, 262552
q1, d, c, 64, 32768, 1, 0, 43846, 262552
q1, d, c, 64, 32768, 1, 0, 43848, 262554
q1, d, c, 64, 32768, 1, 0, 43850, 262551
q1, d, c, 64, 32768, 1, 0, 43848, 262553
q1, d, c, 64, 32768, 1, 0, 43852, 262552
q1, d, c, 64, 32768, 1, 0, 43857, 262552
q1, d, c, 64, 32768, 1, 0, 43849, 262552
q1, d, c, 64, 32768, 1, 0, 43851, 262552
q1, d, c, 64, 32768, 1, 0, 43845, 262551
q1, d, c, 64, 32768, 1, 0, 43845, 262551
q1, d, c, 64, 32768, 1, 0, 43853, 262551
q1, d, c, 64, 32768, 1, 0, 43850, 262550
q1, d, c, 64, 32768, 1, 0, 43879, 262552
q1, d, c, 64, 32768, 1, 0, 43844, 262551
q1, d, c, 64, 32768, 1, 0, 43859, 262550
q1, d, c, 64, 32768, 2, 0, 49416, 262554
q1, d, c, 64, 32768, 2, 0, 49432, 262551
q1, d, c, 64, 32768, 2, 0, 49434, 262550
q1, d, c, 64, 32768, 2, 0, 49588, 262552
q1, d, c, 64, 32768, 2, 0, 49416, 262553
q1, d, c, 64, 32768, 2, 0, 51520, 263797
q1, d, c, 64, 32768, 2, 0, 51282, 263877
q1, d, c, 64, 32768, 2, 0, 51423, 264076
q1, d, c, 64, 32768, 2, 0, 49436, 262553
q1, d, c, 64, 32768, 2, 0, 49564, 262552
q1, d, c, 64, 32768, 2, 0, 49415, 262555
q1, d, c, 64, 32768, 2, 0, 49433, 262554
q1, d, c, 64, 32768, 2, 0, 49420, 262553
q1, d, c, 64, 32768, 2, 0, 49427, 262552
q1, d, c, 64, 32768, 2, 0, 49426, 262551
q1, d, c, 64, 32768, 2, 0, 49432, 262551
q1, d, c, 64, 32768, 2, 0, 49429, 262555
q1, d, c, 64, 32768, 2, 0, 49423, 262554
q1, d, c, 64, 32768, 2, 0, 49423, 262553
q1, d, c, 64, 32768, 2, 0, 51483, 263736
q1, d, c, 64, 32768, 2, 0, 49566, 262551
q1, d, c, 64, 32768, 2, 0, 49420, 262552
q1, d, c, 64, 32768, 2, 0, 49418, 262553
q1, d, c, 64, 32768, 2, 0, 49429, 262549
q1, d, c, 64, 32768, 2, 0, 49493, 262553
q1, d, c, 64, 32768, 2, 0, 50850, 264098
q1, d, c, 64, 32768, 2, 0, 49416, 262550
q1, d, c, 64, 32768, 2, 0, 49423, 262551
q1, d, c, 64, 32768, 2, 0, 49492, 262552
q1, d, c, 64, 32768, 2, 0, 49415, 262552
q1, d, c, 64, 32768, 4, 0, 49647, 262553
q1, d, c, 64, 32768, 4, 0, 49639, 262551
q1, d, c, 64, 32768, 4, 0, 49657, 262552
q1, d, c, 64, 32768, 4, 0, 49643, 262553
q1, d, c, 64, 32768, 4, 0, 49657, 262550
q1, d, c, 64, 32768, 4, 0, 49644, 262551
q1, d, c, 64, 32768, 4, 0, 51540, 264157
q1, d, c, 64, 32768, 4, 0, 49637, 262552
q1, d, c, 64, 32768, 4, 0, 49693, 262550
q1, d, c, 64, 32768, 4, 0, 49637, 262551
q1, d, c, 64, 32768, 4, 0, 49645, 262552
q1, d, c, 64, 32768, 4, 0, 49637, 262554
q1, d, c, 64, 32768, 4, 0, 49645, 262554
q1, d, c, 64, 32768, 4, 0, 49709, 262552
q1, d, c, 64, 32768, 4, 0, 49638, 262551
q1, d, c, 64, 32768, 4, 0, 49652, 262552
q1, d, c, 64, 32768, 4, 0, 51205, 264228
q1, d, c, 64, 32768, 4, 0, 49646, 262551
q1, d, c, 64, 32768, 4, 0, 49639, 262553
q1, d, c, 64, 32768, 4, 0, 49638, 262552
q1, d, c, 64, 32768, 4, 0, 49642, 262552
q1, d, c, 64, 32768, 4, 0, 51581, 264069
q1, d, c, 64, 32768, 4, 0, 49678, 262551
q1, d, c, 64, 32768, 4, 0, 51626, 264138
q1, d, c, 64, 32768, 4, 0, 51322, 264077
q1, d, c, 64, 32768, 4, 0, 49694, 262551
q1, d, c, 64, 32768, 4, 0, 49641, 262552
q1, d, c, 64, 32768, 4, 0, 49644, 262549
q1, d, c, 64, 32768, 4, 0, 51423, 264075
q1, d, c, 64, 32768, 4, 0, 49643, 262550
q1, d, c, 64, 32768, 8, 0, 52189, 263901
q1, d, c, 64, 32768, 8, 0, 50106, 262551
q1, d, c, 64, 32768, 8, 0, 50119, 262551
q1, d, c, 64, 32768, 8, 0, 50145, 262553
q1, d, c, 64, 32768, 8, 0, 50126, 262554
q1, d, c, 64, 32768, 8, 0, 50130, 262551
q1, d, c, 64, 32768, 8, 0, 50099, 262553
q1, d, c, 64, 32768, 8, 0, 50099, 262552
q1, d, c, 64, 32768, 8, 0, 50117, 262550
q1, d, c, 64, 32768, 8, 0, 50121, 262552
q1, d, c, 64, 32768, 8, 0, 50134, 262554
q1, d, c, 64, 32768, 8, 0, 50114, 262552
q1, d, c, 64, 32768, 8, 0, 50131, 262551
