bench, mem, temp, row_size, row_count, col_width, offset, cycles, l2_miss
q1, d, c, 64, 32768, 1, 0, 43851, 528
q1, d, c, 64, 32768, 1, 0, 43865, 524
q1, d, c, 64, 32768, 1, 0, 43857, 527
q1, d, c, 64, 32768, 1, 0, 43854, 526
q1, d, c, 64, 32768, 1, 0, 43850, 526
q1, d, c, 64, 32768, 1, 0, 43867, 525
q1, d, c, 64, 32768, 1, 0, 43851, 525
q1, d, c, 64, 32768, 1, 0, 43847, 526
q1, d, c, 64, 32768, 1, 0, 43864, 526
q1, d, c, 64, 32768, 1, 0, 43846, 526
q1, d, c, 64, 32768, 1, 0, 43879, 528
q1, d, c, 64, 32768, 1, 0, 43856, 529
q1, d, c, 64, 32768, 1, 0, 43868, 526
q1, d, c, 64, 32768, 1, 0, 43850, 523
q1, d, c, 64, 32768, 1, 0, 43851, 528
q1, d, c, 64, 32768, 1, 0, 43855, 525
q1, d, c, 64, 32768, 1, 0, 43868, 523
q1, d, c, 64, 32768, 1, 0, 43854, 526
q1, d, c, 64, 32768, 1, 0, 43853, 526
q1, d, c, 64, 32768, 1, 0, 43867, 527
q1, d, c, 64, 32768, 1, 0, 43857, 525
q1, d, c, 64, 32768, 1, 0, 43854, 522
q1, d, c, 64, 32768, 1, 0, 43888, 528
q1, d, c, 64, 32768, 1, 0, 43835, 525
q1, d, c, 64, 32768, 1, 0, 43848, 525
q1, d, c, 64, 32768, 1, 0, 43891, 527
q1, d, c, 64, 32768, 1, 0, 43852, 526
q1, d, c, 64, 32768, 1, 0, 43847, 525
q1, d, c, 64, 32768, 1, 0, 43845, 525
q1, d, c, 64, 32768, 1, 0, 43847, 524
q1, d, c, 64, 32768, 2, 0, 49424, 1039
q1, d, c, 64, 32768, 2, 0, 49425, 1042
q1, d, c, 64, 32768, 2, 0, 49417, 1037
q1, d, c, 64, 32768, 2, 0, 49426, 1037
q1, d, c, 64, 32768, 2, 0, 49492, 1039
q1, d, c, 64, 32768, 2, 0, 49412, 1038
q1, d, c, 64, 32768, 2, 0, 49426, 1036
q1, d, c, 64, 32768, 2, 0, 49426, 1038
q1, d, c, 64, 32768, 2, 0, 49437, 1038
q1, d, c, 64, 32768, 2, 0, 49422, 1037
q1, d, c, 64, 32768, 2, 0, 49426, 1036
q1, d, c, 64, 32768, 2, 0, 49412, 1033
q1, d, c, 64, 32768, 2, 0, 52801, 1203
q1, d, c, 64, 32768, 2, 0, 49554, 1036
q1, d, c, 64, 32768, 2, 0, 49431, 1039
q1, d, c, 64, 32768, 2, 0, 49438, 1039
q1, d, c, 64, 32768, 2, 0, 49430, 1038
q1, d, c, 64, 32768, 2, 0, 49428, 1040
q1, d, c, 64, 32768, 2, 0, 49430, 1038
q1, d, c, 64, 32768, 2, 0, 49415, 1037
q1, d, c, 64, 32768, 2, 0, 49421, 1040
q1, d, c, 64, 32768, 2, 0, 49427, 1040
q1, d, c, 64, 32768, 2, 0, 50820, 1091
q1, d, c, 64, 32768, 2, 0, 52496, 1142
q1, d, c, 64, 32768, 2, 0, 50961, 1107
q1, d, c, 64, 32768, 2, 0, 49418, 1102
q1, d, c, 64, 32768, 2, 0, 49432, 1036
q1, d, c, 64, 32768, 2, 0, 49420, 1038
q1, d, c, 64, 32768, 2, 0, 49424, 1039
q1, d, c, 64, 32768, 2, 0, 52219, 1127
q1, d, c, 64, 32768, 4, 0, 49638, 2062
q1, d, c, 64, 32768, 4, 0, 49635, 2061
q1, d, c, 64, 32768, 4, 0, 51349, 2150
q1, d, c, 64, 32768, 4, 0, 49639, 2062
q1, d, c, 64, 32768, 4, 0, 49660, 2063
q1, d, c, 64, 32768, 4, 0, 49680, 2060
q1, d, c, 64, 32768, 4, 0, 49640, 2061
q1, d, c, 64, 32768, 4, 0, 49642, 2062
q1, d, c, 64, 32768, 4, 0, 49661, 2067
q1, d, c, 64, 32768, 4, 0, 49639, 2062
q1, d, c, 64, 32768, 4, 0, 51295, 2146
q1, d, c, 64, 32768, 4, 0, 49642, 2062
q1, d, c, 64, 32768, 4, 0, 49646, 2066
q1, d, c, 64, 32768, 4, 0, 49642, 2059
q1, d, c, 64, 32768, 4, 0, 49638, 2065
q1, d, c, 64, 32768, 4, 0, 49640, 2060
q1, d, c, 64, 32768, 4, 0, 49650, 2062
q1, d, c, 64, 32768, 4, 0, 49688, 2064
q1, d, c, 64, 32768, 4, 0, 49641, 2061
q1, d, c, 64, 32768, 4, 0, 49637, 2060
q1, d, c, 64, 32768, 4, 0, 51310, 2118
q1, d, c, 64, 32768, 4, 0, 49650, 2062
q1, d, c, 64, 32768, 4, 0, 49634, 2062
q1, d, c, 64, 32768, 4, 0, 49637, 2063
q1, d, c, 64, 32768, 4, 0, 49651, 2060
q1, d, c, 64, 32768, 4, 0, 49637, 2060
q1, d, c, 64, 32768, 4, 0, 49663, 2063
q1, d, c, 64, 32768, 4, 0, 49704, 2065
q1, d, c, 64, 32768, 4, 0, 49642, 2062
q1, d, c, 64, 32768, 4, 0, 49638, 2065
q1, d, c, 64, 32768, 8, 0, 50095, 4111
q1, d, c, 64, 32768, 8, 0, 50152, 4112
q1, d, c, 64, 32768, 8, 0, 51858, 4176
q1, d, c, 64, 32768, 8, 0, 50088, 4112
q1, d, c, 64, 32768, 8, 0, 50075, 4108
q1, d, c, 64, 32768, 8, 0, 50131, 4113
q1, d, c, 64, 32768, 8, 0, 50094, 4109
q1, d, c, 64, 32768, 8, 0, 50135, 4113
q1, d, c, 64, 32768, 8, 0, 50119, 4112
q1, d, c, 64, 32768, 8, 0, 50083, 4112
q1, d, c, 64, 32768, 8, 0, 50138, 4109
q1, d, c, 64, 32768, 8, 0, 50122, 4109
q1, d, c, 64, 32768, 8, 0, 50121, 4112
q1, d, c, 64, 32768, 8, 0, 52192, 4221
q1, d, c, 64, 32768, 8, 0, 52257, 4178
q1, d, c, 64, 32768, 8, 0, 51893, 4191
q1, d, c, 64, 32768, 8, 0, 50127, 4109
q1, d, c, 64, 32768, 8, 0, 50111, 4113
q1, d, c, 64, 32768, 8, 0, 50122, 4109
q1, d, c, 64, 32768, 8, 0, 50128, 4113
q1, d, c, 64, 32768, 8, 0, 50133, 4111
q1, d, c, 64, 32768, 8, 0, 50086, 4111
q1, d, c, 64, 32768, 8, 0, 50118, 4108
q1, d, c, 64, 32768, 8, 0, 51756, 4208
q1, d, c, 64, 32768, 8, 0, 52049, 4179
q1, d, c, 64, 32768, 8, 0, 50091, 4114
q1, d, c, 64, 32768, 8, 0, 50086, 4106
q1, d, c, 64, 32768, 8, 0, 50122, 4113
q1, d, c, 64, 32768, 8, 0, 50120, 4114
q1, d, c, 64, 32768, 8, 0, 50143, 4109
q1, d, c, 64, 32768, 16, 0, 54092, 8209
q1, d, c, 64, 32768, 16, 0, 55889, 8310
q1, d, c, 64, 32768, 16, 0, 54014, 8212
q1, d, c, 64, 32768, 16, 0, 53923, 8209
