bench, mem, temp, row_size, row_count, col_width, perf_l1_miss
q1_new, r, c, 64, 32768, 1, 248
q1_new, r, h, 64, 32768, 1, 601
q1_new, d, -, 64, 32768, 1, 628
q1_new, c, -, 64, 32768, 1, 1030
q1_new, r, c, 64, 32768, 1, 54
q1_new, r, h, 64, 32768, 1, 319
q1_new, d, -, 64, 32768, 1, 642
q1_new, c, -, 64, 32768, 1, 1178
q1_new, r, c, 64, 32768, 1, 62
q1_new, r, h, 64, 32768, 1, 280
q1_new, d, -, 64, 32768, 1, 638
q1_new, c, -, 64, 32768, 1, 1213
q1_new, r, c, 64, 32768, 1, 54
q1_new, r, h, 64, 32768, 1, 351
q1_new, d, -, 64, 32768, 1, 635
q1_new, c, -, 64, 32768, 1, 1121
q1_new, r, c, 64, 32768, 1, 63
q1_new, r, h, 64, 32768, 1, 274
q1_new, d, -, 64, 32768, 1, 641
q1_new, c, -, 64, 32768, 1, 1192
q1_new, r, c, 64, 32768, 1, 55
q1_new, r, h, 64, 32768, 1, 511
q1_new, d, -, 64, 32768, 1, 639
q1_new, c, -, 64, 32768, 1, 1036
q1_new, r, c, 64, 32768, 1, 57
q1_new, r, h, 64, 32768, 1, 363
q1_new, d, -, 64, 32768, 1, 633
q1_new, c, -, 64, 32768, 1, 1168
q1_new, r, c, 64, 32768, 1, 56
q1_new, r, h, 64, 32768, 1, 290
q1_new, d, -, 64, 32768, 1, 640
q1_new, c, -, 64, 32768, 1, 1175
q1_new, r, c, 64, 32768, 1, 62
q1_new, r, h, 64, 32768, 1, 411
q1_new, d, -, 64, 32768, 1, 800
q1_new, c, -, 64, 32768, 1, 871
q1_new, r, c, 64, 32768, 1, 56
q1_new, r, h, 64, 32768, 1, 349
q1_new, d, -, 64, 32768, 1, 833
q1_new, c, -, 64, 32768, 1, 1000
q1_new, r, c, 64, 32768, 1, 56
q1_new, r, h, 64, 32768, 1, 249
q1_new, d, -, 64, 32768, 1, 764
q1_new, c, -, 64, 32768, 1, 847
q1_new, r, c, 64, 32768, 1, 60
q1_new, r, h, 64, 32768, 1, 268
q1_new, d, -, 64, 32768, 1, 856
q1_new, c, -, 64, 32768, 1, 849
q1_new, r, c, 64, 32768, 1, 61
q1_new, r, h, 64, 32768, 1, 395
q1_new, d, -, 64, 32768, 1, 842
q1_new, c, -, 64, 32768, 1, 894
q1_new, r, c, 64, 32768, 1, 55
q1_new, r, h, 64, 32768, 1, 223
q1_new, d, -, 64, 32768, 1, 834
q1_new, c, -, 64, 32768, 1, 884
q1_new, r, c, 64, 32768, 1, 53
q1_new, r, h, 64, 32768, 1, 360
q1_new, d, -, 64, 32768, 1, 772
q1_new, c, -, 64, 32768, 1, 863
q1_new, r, c, 64, 32768, 1, 55
q1_new, r, h, 64, 32768, 1, 305
q1_new, d, -, 64, 32768, 1, 786
q1_new, c, -, 64, 32768, 1, 892
q1_new, r, c, 64, 32768, 1, 50
q1_new, r, h, 64, 32768, 1, 488
q1_new, d, -, 64, 32768, 1, 810
q1_new, c, -, 64, 32768, 1, 1056
q1_new, r, c, 64, 32768, 1, 218
q1_new, r, h, 64, 32768, 1, 165
q1_new, d, -, 64, 32768, 1, 789
q1_new, c, -, 64, 32768, 1, 901
q1_new, r, c, 64, 32768, 1, 241
q1_new, r, h, 64, 32768, 1, 51
q1_new, d, -, 64, 32768, 1, 822
q1_new, c, -, 64, 32768, 1, 1019
q1_new, r, c, 64, 32768, 1, 243
q1_new, r, h, 64, 32768, 1, 219
q1_new, d, -, 64, 32768, 1, 798
q1_new, c, -, 64, 32768, 1, 1117
q1_new, r, c, 64, 32768, 1, 216
q1_new, r, h, 64, 32768, 1, 228
q1_new, d, -, 64, 32768, 1, 867
q1_new, c, -, 64, 32768, 1, 1044
q1_new, r, c, 64, 32768, 1, 215
q1_new, r, h, 64, 32768, 1, 146
q1_new, d, -, 64, 32768, 1, 786
q1_new, c, -, 64, 32768, 1, 1090
q1_new, r, c, 64, 32768, 1, 238
q1_new, r, h, 64, 32768, 1, 78
q1_new, d, -, 64, 32768, 1, 817
q1_new, c, -, 64, 32768, 1, 1104
q1_new, r, c, 64, 32768, 1, 215
q1_new, r, h, 64, 32768, 1, 646
q1_new, d, -, 64, 32768, 1, 641
q1_new, c, -, 64, 32768, 1, 1072
q1_new, r, c, 64, 32768, 1, 60
q1_new, r, h, 64, 32768, 1, 247
q1_new, d, -, 64, 32768, 1, 688
q1_new, c, -, 64, 32768, 1, 1046
q1_new, r, c, 64, 32768, 1, 56
q1_new, r, h, 64, 32768, 1, 224
q1_new, d, -, 64, 32768, 1, 742
