bench, mem, temp, row_size, row_count, col_width, offset, cycles, l1_miss, l1_total, l2_miss, l2_total
q1, dc, c,64,32768,16,0,56571,326,295320,8211,16521
q1, dc, c,64,32768,16,0,53915,173,298896,8316,16518
q1, dc, c,64,32768,16,0,53963,167,295319,8212,16509
q1, dc, c,64,32768,16,0,54035,177,295318,8216,16505
q1, dc, c,64,32768,16,0,53923,166,295320,8329,16480
q1, dc, c,64,32768,16,0,56446,348,295319,8213,16492
q1, dc, c,64,32768,16,0,53935,163,295319,8217,16507
q1, dc, c,64,32768,16,0,54047,180,295321,8210,17299
q1, dc, c,64,32768,16,0,53962,172,295320,8211,16514
q1, dc, c,64,32768,16,0,53928,168,295321,8211,16502
q1, dc, c,64,32768,16,0,53991,169,295318,8210,16509
q1, dc, c,64,32768,16,0,54092,176,295319,8220,16511
q1, dc, c,64,32768,16,0,53987,182,295320,8211,16525
q1, dc, c,64,32768,16,0,54016,182,295320,8300,16504
q1, dc, c,64,32768,16,0,53969,164,295322,8300,16512
q1, dc, c,64,32768,16,0,54034,179,295319,8220,16522
q1, dc, c,64,32768,16,0,53875,172,295320,8214,16499
q1, dc, c,64,32768,16,0,53933,172,295320,8213,16545
q1, dc, c,64,32768,16,0,53971,178,295321,8209,16484
q1, dc, c,64,32768,16,0,54046,177,295320,8215,16496
